Sleepless in Seattle

 SAM	Mommy got sick and it happened  just like that and there was  nothing anybody would do.
 ANNIE	 I'm going to marry Walter.  Ijust have to get this out of mysystem.
 BECKY	 Right.
 ANNIE	 I should say something in thisabout magic.
 BECKY	 What?
 ANNIE	 I don't know.  I mean, what ifI never meet him? What if thisman is my destiny and I nevermeet him?
 BECKY	 Your destiny can be your doom. Look at me and Rick.
 ANNIE	 "I want to meet you..."
 BECKY	 "On top of the Empire StateBuilding at sunset onValentine's Day."
 ANNIE	 Good.  Perfect.  I'll be in NewYork with Walter, I can squeezeit in.
 BECKY	 You want to hear about destiny?If my husband hadn't gone on adiet, which caused me to leavehim, I would never have been onthat flight to Miami, and metRick, and ended up having sexin the bathroom of a 727 withthat nob you slide that says"vacant-occupied, vacant-  occupied, vacant-occupied" --
 ANNIE	 You never told me you left yourhusband because he went on adiet.
 BECKY	 He lost all the weight...there.
 ANNIE	 That's impossible.  A guy can't
 BECKY	 Can too.
 ANNIE	 No.
 BECKY	 Yes.
 ANNIE	 And then you left him? He lostweight there and you left him?
 BECKY	 Plus he fell in love with atemp.
 ANNIE	 Listen to this, I love thispart --
 BECKY	 Men never get this movie.
 ANNIE	 I know.
 BECKY	 Do you think at the end of themovie when she's in thewheelchair they can still doit?
 ANNIE	 I always wondered about thattoo.
 SAM	 It's okay, it's okay.  I'mhere.
 JONAH	 It was sinking.
 SAM	 What was?
 JONAH	 Our house.  There was watercoming in all the windows.
 SAM	 You're worried we're going tobe all right.  We're going tobe all right.  I remember sometimes you'd havenightmares as a baby.  Your momwould hold you and rock you andsing you a song.
 JONAH	 Bye bye blackbird.
 SAM	 Is that what she used to sing?
 JONAH	 I miss her.  What do you think happens tosomeone after they die?
 SAM	 I don't know.
 JONAH	 Like do you believe in heaven?
 SAM	 I never did.  Or the whole ideaof an afterlife.  But I don'tknow any more.  I have thesedreams about... your mom... andwe have long talks about...about you, and how you are,which she sort of knows but Itell her anyway.  So what isthat? It's sort of an afterlife,isn't it?
 JONAH	 I'm starting to forget her.
 SAM	 I know.  But she's here, Jonah. Because I have you.  And aslong as I have you, I have yourMom.
 SAM	 I... uh... have a date withsomeone Friday night.
 JONAH	 Good.
 SAM	 Did I ever tell you about thetime I ate a dog biscuit?
 ANNIE	 Laurie, it's Annie.  Fine, I'mfine.  Listen, I'm doing anarticle on call-in radio shows. Do you know anyone who worksfor someone named Dr. MarciaFieldstone...?
 ANNIE	 I'm a writer for the BaltimoreSun and I'm a friend of LaurieJohnson's.  I'm doing a pieceon how people handlebereavement and I understandthat you had a caller the othernight... I know you're notsupposed to, but Laurie saidyou might, and I'll plug theshow and everything --
 JONAH	 This is Jonah Baldwin, we'renot in right now but you canleave --
 ANNIE	 Baldwin.
 COMPUTER SCREEN	 Directory.  Enter password.  Ann Reed.  BSun124.  Find.  Samuel Baldwin.  216 Samuel Baldwin.  Strike Yto printout or enter factors.  Samuel Baldwin, Seattle.  Not found.  Samuel Baldwin, Jonah Baldwin.  Samuel Baldwin, Jonah Baldwinfound.  Strike Y to printout orenter factors.
 ANNIE	 Samuel.  Baldwin, Chicago.  Four Samuel Baldwins.  Strike Yto printout.  Samuel Baldwin, arrested forgrand larceny, 1961.  SamuelBaldwin, alderman, convicted ofaccepting bribes, 1967.  SamuelJ. Baldwin, architect, builtCity Plaza.
 ANNIE	 I need to know about himbecause... he's involved withmy sister...
 ANNIE	 She has a pattern of gettinginvolved with losers... Onceshe almost ran away with ahuman cannonball from thecircus.
 DET. WHEEDLE	 Do you want a matrimonial, pastwives, any kids--
 ANNIE	 No, I know that part --
 DET. WHEEDLE	 So you want a financial, is hea deadbeat, we can do a D&B --
 ANNIE	 No, no, no, it's more like, whois he, does he have a sense ofhumor, is he nice -- no forgetnice, I've got nice --
 DET. WHEEDLE	 A sense of humor.
 ANNIE	 I'll tell you the truth, Iheard this guy on a call-inradio show and I might notmarry the person I should marrybecause I've become obsessedwith him.
 DET. WHEEDLE	 Oh.  Like Glenn Close in thatmovie.
 ANNIE	 No.  Not remotely.  I just wantto find out about him.
 DET. WHEEDLE	 You want a tail.  I got a guy in Seattle --
 GERALDO	 So how long have you been awoman?
 WOMAN	 About two weeks.
 CLARISE	 Pssst!
 SAM	 Clarise, I'll be back bymidnight I'm sure --
 CLARISE	 Whenever.
 SAM	 This one's for both of us.
 JONAH	 Sleepless and Son.  Baltimore.
 SAM	 I left the number of therestaurant I'll be at ifthere's any emergency.
 CLARISE	 Fine.
 SAM	 How do I look?
 JONAH	 Great.
 SAM	 I look stupid.  I look stupid,don't I? I look like I'mtrying too hard.  I was goingto get a haircut but then Ithought I'd look like I justgot a haircut.
 JONAH	 This is a good letter, Dad.
 SAM	 The heels on these shoes arevery large.  Why have I nevernoticed this? The heels onthese shoes are grotesque.
 JONAH	 Her name is Annie.  Annie Reed.
 SAM	 Now I'm late.  Bye.
 JONAH	 Listen to this --
 SAM	 Not now, Jonah --
 JONAH	 Just this one part, okay?  "I have been an excellentthird-baseman for as long as Ior anyone else can remember,and I guarantee you will notget one past me"
 SAM	 Jonah, I'm leaving --
 JONAH
 JONAH	 Dad!
 SAM	 Everyone thinks Brooks Robinsonis the greatest.
 JONAH	 It's a sign.
 SAM	 Oh, right.
 SAM	 Come here.  I want to show yousomething.
 SAM	 Here is Seattle.  And here is Baltimore.  Caseclosed.
 JONAH	 She doesn't want us to go toBaltimore.  She wants to meetus in New York City onValentine's Day.  On top of theEmpire State Building.
 SAM	 Perfect.  We'll be there.
 SAM	 Hi.
 VICTORIA	 Hi.
 SAM	 You look good.
 VICTORIA	 You look good yourself.
 VICTORIA	 I thought you were never goingto call me.
 SAM	 You did?
 VICTORIA	 I really wanted you to call me,and I thought you were nevergoing to --
 SAM	 You could have called me --
 VICTORIA	 No way.  No way I was going tobe the first woman you went outwith after...  There is no percentagewhatsoever in being the firstwoman anyone goes out withafter...
 SAM	 You are the first woman I'mgoing out with.
 VICTORIA	 Oh.
 SAM	 So whatdya say? I'll get thecheck, and I'll call you ineight months.
 VICTORIA	 Oh, you are funny --
 ANNIE	 Tell me he's living in squalor. Tell me everything he has isbeing repossessed, includinghis filthy, dented mobile home.
 WHEEDLE	 He's got a houseboat.
 ANNIE	 I hate boats.
 WHEEDLE	 It sounds nice.
 ANNIE	 Boats.  You go out in them. You come back in them.  I hatethem.
 WHEEDLE	 Houseboats don't go anywhere.
 ANNIE	 Boats.  All anyone talks aboutis the wind.  Is it up, is itdown.  I can't live with a manwho only talks about the wind.
 WHEEDLE	 It's not a boat boat.  It'sreally a house.
 ANNIE	 But it's on the water.
 WHEEDLE	 It's on the lake right in themiddle of Seattle.  It rains nine months of theyear in Seattle.
 ANNIE	 I hope I don't have to pay forthat piece of information.
 WHEEDLE	 No, that's free.  He's anarchitect.  Used to do bighigh-profile projects.  Hescaled it all back when hiswife died.  Now he remodelspeople's homes.  He works ina small firm, makes a goodliving.
 ANNIE	 He's real.
 JONAH	 I figure we could go to NewYork, catch the Knicks, andsince we'd be there anyway,obviously we'd go to the EmpireState Building --
 SAM	 There she is.
 JONAH	 Why is she bringing that bag?
 SAM	 She's going to cook somethingfor us?
 VICTORIA	 Hi, Sam.  And let me guess --you must be Jonah.
 JONAH	 Hi.  He should book now because wecan get an excursion fare. Jessica's parents are travelagents and --
 SAM	 Not now, Jonah.
 SAM	 We can't finish the job.  She'son her sixth painter, now she'sthinking maybe she wants thefireplace rebricked --
 VICTORIA	 I know her pretty well.  MaybeI could call her --
 SAM	 I've already solved it.  I'vehired a hit man.
 VICTORIA	 Oh that is so funny, you are sofunny.
 SAM	 Every time she wants to changesomething, she talks in thislittle baby voice --  "Couldn't you just move thestairway a teeny tiny bit?"--
 JONAH	 Do you like baseball?
 VICTORIA	 Yes, I do.  In fact, my firm hasbox seats for the Mariners. Why don't we all go next week?
 JONAH	 What about camping?
 VICTORIA	 What about it?
 JONAH	 Do you like it?
 VICTORIA	 I went camping once.  I love to brush my teeth in abrook and floss with a weed.
 JONAH	 We ought to start campingagain, Dad.
 SAM	 Okay, tiger.  Time for bed.
 JONAH	 It's only ten o'clock.
 SAM	 Jonah!
 JONAH	 Okay.
 SAM	 Thank Victoria for dinner.
 JONAH	 Thanks for dinner.  I never sawanybody cook potatoes that way.
 SAM	 I'm glad you liked it.  Goodnight, Jonah.
 ANNIE	 Hello.
 BECKY	 Turn on your radio!
 ANNIE	 What?
 BECKY	 The kid is on.  You've got melistening to this garbage. Go on, turn it on.
 WALTER	 Who is it?
 ANNIE	 Oh, it's just Becky, she'shaving trouble with Rich again.  Hold on, Becky, I'm goingdownstairs.
 JONAH	 This is a complete disaster.  Iwanted him to find a wife, buthe's got the wrong one --
 ANNIE	 How am I going to explain thisto Walter?
 BECKY	 Shhh, listen to this --
 DR. MARCIA FIELDSTONE	 Shouldn't your father be thejudge of whether she's rightor wrong?
 JONAH	 Please, please don't make mesick.  He's not sane enough tojudge anything.  She's a ho.
 JONAH	 My dad's been captured by a ho.
 VICTORIA	 Is he there?
 SAM	 No.  After he was born, every timewe started to make love, hewould cry.  He had an uncannysense of timing.  We reallyshouldn't do anything hereanyway.
 VICTORIA	 Absolutely.  Right.
 JONAH	 Oh God, it's major.  He'skissing her on the lips.  Ihave to stop this.
 ANNIE	 Come on, Jonah --
 BECKY	 Do something --
 DR. MARCIA FIELDSTONE	 Jonah, you can't butt in here.
 JONAH	 Yes, I can.
 WALTER	 Miss Scarlett.  In the broomcloset.  With the radio.
 ANNIE	 I gotta go.  I'll see you atwork.  Walter, you scared me.  Don'tever do that again.
 SAM	 Don't ever do that again.
 JONAH	 I thought I saw a black widowspider.
 SAM	 What are you doing up?
 JONAH	 I was thirsty.
 SAM	 There's a bathroom upstairs.
 JONAH	 The water tastes better in thekitchen.
 SAM	 That's true.  Why is that?
 ANNIE	 Becky heard this woman on theradio complaining about thisguy she was sure was Rick,which meant he was cheating onher.  She was completelyhysterical.  Then it turned outthe woman lived in Duluth.
 WALTER	 That doesn't make any sense.
 ANNIE	 I know.  It makes no sense atall.  Thank God my life is inplace.
 JESSICA	 Write her.
 JONAH	 You think so?
 JESSICA	 It's Y. O. H.
 JONAH	 Yeah.  What's that?
 JESSICA	 Your only hope.
 ANNIE	 I thought I would look intodoing a story about those radioshows.
 BECKY	 You'd probably have to gosomewhere to really look intoit.
 ANNIE	 Definitely.
 SAM	 Get in the car right thisminute.
 JESSICA	 I'll call you later.
 SAM	 Did you call that radio stationagain?
 JONAH	 No.
 SAM	 Everyone at work heard you.
 JONAH	 I just called for a second.
 SAM	 Long enough to call Victoria aho.
 JONAH	 It's a short word.
 SAM	 This is not a joke.  Thank GodVictoria doesn't know.  Itwould really have hurt herfeelings.
 JONAH	 If she knew, she'd neverforgive me.  It would behopeless for the two of you.
 SAM	 Don't open your mouth again. Ever.
 WALTER	 Couldn't you just do a phoneinterview?
 ANNIE	 Not for the kind of place Iwant to do.  I won't be inChicago that long.
 WALTER	 When you get back, I'll begone --
 ANNIE	 And then I'll see you in NewYork --
 WALTER	 Okay, okay.
 PILOT'S VOICE	 This is Captain Fosterwelcoming you aboard Flight 132to Seattle.  Our flying timetoday...
 ANNIE	 Do you believe that any lie isa betrayal? That's what HaroldPinter says, but it seems to meit's a very harsh way ofdrawing the line.
 VICTORIA	 Can I bring something back foryou? A souvenir?  Does he like those little snowscenes?  You know -- you shake them upand the snow floats down?
 JONAH	 Sure.  I'd really like that. Thank you so much.
 VICTORIA	 Well...
 JONAH	 I think they're announcing yourflight.
 SAM	 He's ten.
 VICTORIA	 He's good at it.
 SAM	 I read an article about this
 VICTORIA	 I read the same article...
 SAM	 It takes time --
 VICTORIA	 Absolutely.  When I come back,maybe the two of us shouldspend some time together, onour own.  What do you think?
 SAM	 Sure.  Sure.
 SAM	 Jonah, this isn't fair.  Youdon't know Victoria.  I hardlyknow her myself.  She is, infact, a mystery to me.  Shetosses her hair a lot.  Whydoes she do this? I have noidea.  Is it a twitch? Doesshe need a haircut? Should sheuse barrette so it doesn'tkeep falling in her face?These are things that I'mwilling to get to the bottomof, and that is why I am datingher.  That is all I am doing. I am not marrying her.  Can youappreciate the difference?That's what single people do,they try people on and they seeif they fit.  But nobody fitsperfectly, everyone is anadjustment.
 JONAH	 Was Mom an adjustment?
 SAM	 I'm never going to meet anyonewho's going to measure up toyour mom in your eyes? What doyou think? There's a perfectwoman walking around out there?
 SAM	 There's no such thing as aperf --
 SAM	 God, she's beautiful.
 JONAH	 Victoria? She's okay.
 JONAH	 Dad, I was talking to Jessicaabout reincarnation, and shethinks that probably you knewAnnie in another life.
 SAM	 Who is Annie?
 JONAH	 The one who wrote us.
 JONAH	 But Jessica says you and Annienever got together in thatlife, and your hearts are likepuzzles with parts out of themand when you get together thepuzzle's complete.
 SAM	 God dammit.
 JONAH	 The reason I know this and youdon't is that I'm younger andpurer so I'm more in touch withcosmic forces.
 SAM	 I sincerely hope you are notgoing to marry Jessica.
 ANNIE	 Hello, Mr.  Baldwin? No. Hello, Sam?  I'm Annie Reed.  I'm Annie Reed.  I'm Annie Reed.  I'm Annie Reed.
 ANNIE	 I heard about you calling Dr.Fieldstone, and well, I justhappened to be out here on...
 ANNIE	 business...
 ANNIE	 vacation...
 ANNIE	 for no good reason at all...  business... and I thought I'ddrop and...  say hello...
 ANNIE	 invite you to lunch...
 ANNIE	 take a shower with you...
 ANNIE	 shoot myself.
 ANNIE	 I watched him play with his sonat the beach.
 BECKY	 Did you talk to him?
 ANNIE	 I couldn't do it.  How did Iget here?
 BECKY	 You told a lie and got on aplane.
 ANNIE	 That's not what I mean.  I'm going back over theretomorrow and talk to him.  Iam.
 BECKY	 Okay.  Good.  Goodbye.
 ANNIE	 Becky?
 BECKY	 What?
 ANNIE	 Is this crazy?
 BECKY	 No.  That's the weirdest partabout it.
 ANNIE	 Thank you.  I love you.
 BECKY	 I love you, too.
 ANNIE	 Good night.
 SAM	 God, it's wonderful to see you. Where's Greg?
 SUZY	 He's over at the boat show. He'll be by later.  It's so beautiful here.
 DRIVER	 Lady, what the hell are youdoing?
 SAM	 Hello.
 ANNIE	 Hello.
 ANNIE	 How could I have been such anidiot?
 BECKY	 You were standing in the middleof the street?
 ANNIE	 You know that dream whereyou're walking down the streetnaked and everyone is lookingat you?
 BECKY	 I love that dream.
 ANNIE	 That was nothing compared tothis humiliation, nothing.
 BECKY	 But he saw you, right?
 ANNIE	 He said hello.
 BECKY	 And what did you say?
 ANNIE	 All I could think of to say washello.
 BECKY	 It's a sign --
 ANNIE	 It's a sign I've watched thismovie too many times.  I'm so stupid.  From the minuteI listen to that stupid programon the radio, I've been acomplete jerk.
 BECKY	 You don't know who she was,Annie --
 ANNIE	 I saw her.  She looked justlike this --
 BECKY	 This is a photo of hair.
 ANNIE	 Well, it's the same woman.  Andhe was crazy about her.  What is this?  This is from Seattle.
 ANNIE	 Becky?
 BECKY	 So I mailed your letter.
 ANNIE	 "Dear Annie: Thanks for yourletter.  It was great.  We'revery excited about meeting youin New York on Valentine's Dayand seeing if we are M.F.E.O.Sleepless in Seattle."
 BECKY
 ANNIE	 Made for each other.
 BECKY	 It's cute.  It's like a littleclue.
 BECKY	 So he can't write.  Big deal. I mean, verbal ability is ahighly overrated thing in aguy, and our pathetic need forit is what gets us into so muchtrouble.
 ANNIE	 I'm going to run back toWalter's arms, if he's stillhave me.
 BECKY	 What about the letter?
 ANNIE	 It doesn't mean anything.  Itwas written before I went outthere.  Before the ho.
 SUZY	 You saw her in the airport andthen here?
 SAM	 I tried to talk to her...  It was like I knew her.  Weird.
 GREG	 Well, at least you're out thereseeing people again.  That'sterrific.
 SAM	 Well, just one really.
 SUZY	 How's Jonah taking it?
 SAM	 It'll take him a while to comearound.  A month ago he calledone of those radio call-inshows and told them I needed awife --
 SUZY	 You're kidding --
 SAM	 Now that I'm seeing someone,it's a whole other thing.
 SAM	 He's become obsessed withsome woman who wrote me --
 GREG	 Are you serious?
 SAM	 She wants to meet me at the topof the Empire State Building.
 SUZY	 It's a little derivative.
 SAM	 What do you mean?
 SUZY	 "An Affair To Remember." Didyou ever see it? Cary Grantand Deborah Kerr.  Before thatit was called "Love Affair WithIrene Dunne And Charles Boyer."
 GREG	 Women love this movie.
 SUZY	 They met at the Empire StateBuilding, only they didn't. Never mind.
 GREG	 What kind of person would writeto someone they heard on theradio?
 SAM	 I got hundreds of letters fromwomen all over the country --
 GREG	 Desperate women --
 SUZY	 Just because someone's lookingfor a nice guy doesn't makethem desperate.
 GREG	 How about rapacious and love-  starved?
 SUZY	 No.
 GREG	 It is easier to be killed by aterrorist --
 SUZY	 It is not --
 GREG	 Right, right.
 SAM	 Anyway, Victoria's nice.
 SUZY	 Would you follow her through anairport?
 SAM	 Look, I met somebody.  She'sgood, and capable and smart. We hit it off.  We can't spendyour life chasing afterfantasies.
 ANNIE	 Hi.
 SAM	 Hi.  So far so good.  So.  Whatshould we talk about? Howinsecure we were in highschool.  Shirley Votypka, thefirst girl I ever felt up. Health.  What about health?Did you know that eating sixmacadamia nuts is theequivalent of eating a steak?
 ANNIE	 Shhhh --
 BECKY	 You're going to miss the train.
 ANNIE	 No, I'm not.
 BECKY	 What are your plans in NewYork?
 ANNIE	 We're going to the Rainbow Roomand the symphony tomorrow night.
 BECKY	 I love the symphony.
 ANNIE	 I hate it.  I'm so happy, Becky.  Finally Ifeel happy.  This is right. This is real.  Everything elseis what happens when you watchtoo many movies and completelylose sight of what counts.  Please don't tell anyone aboutwhat happened.  "Sleepless inSeattle" is history.
 JESSICA	 This is the best movie I'veever seen in my life.
 JONAH	 I don't get it.
 JESSICA	 You have to go to her, Jonah. You have to find her.
 JONAH	 Do you know how much it coststo go to New York?
 JESSICA	 Nobody knows.  It changespractically every day.  Howmuch money do you have?
 JONAH	 Eighty dollars.
 JESSICA	 I have forty-two.  So thatwould definitely covertaxicabs, I think.
 JONAH	 But how am I going to getthere?
 JESSICA'S MOTHER	 Honey, I'm going out for a fewminutes.  Could you keep an eye on thingsout front till I get back?
 JESSICA	 Sure.
 JESSICA	 Do you want an aisle or awindow seat?
 JONAH	 Window.
 JESSICA	 Do you want a fruit plate?
 JONAH	 I don't know.  Do I?
 JESSICA	 I'd rather die than eat on anairplane.  I'm telling them you're twelveso you can fly unaccompaniedand they won't make you becarried around by a stewardessand everything.
 ANNIE	 You go.
 WALTER	 Ever since Christmas, you'vebeen different.  Kind ofdistracted, distant.  But Ifeel like you're coming backfrom wherever you were.
 ANNIE	 I am.  I was just... I just got... Ithink I got nervous.  It'snormal, right? Don't you everfeel nervous about, you know?
 WALTER	 What?
 ANNIE	 About forever.
 WALTER	 No.
 ANNIE	 Well, I did.  And you know whatI think? I think that it wasalmost... too perfect.
 ANNIE	 I started to wonder whether wewere the human equivalent oftwo rights making a wrong, youknow?
 ANNIE	 It was like kismet but not, ifyou see what I mean.
 ANNIE	 You have to grow up.  You can'thave all these adolescentdreams about how exciting yourlife is going to be --
 ANNIE	 Don't hate me but I love thispattern.
 ANNIE	 I do.
 WALTER	 It's just like my grandmother'schina.
 SALESWOMAN	 How many place settings shouldI put down?
 ANNIE & WALTER	 Ten.
 WALTER	 Exactly.  Eight is too few andtwelve is too many.
 ANNIE	 Walter.
 WALTER	 It was my mother's.
 ANNIE	 It's so beautiful.  It's justwhat I would have picked out ifI'd had every ring in the worldto choose from.  You see what I mean.  There arepeople who would like arelationship to be full ofsurprises, but I am not one ofthem.  Surprises are highly overrated.
 ANNIE	 Promise me something, Walter. Promise me you will never havea surprise party for me.  Ever. You know what happens, you walkin the door in some horriblesweater you put on that morning,and there are hundreds of peoplein their best clothes shouting"Surprise!"
 SAM	 Have you seen my wallet?
 JONAH	 It might be in the kitchen.
 SAM	 I'm only going to be away onenight, okay, and Clarise willbe here.  You'll have a swelltime.  You'll watch a littleGeraldo, some Nightmare on ElmStreet 12, I'll never know.
 JONAH	 Are you going with her?
 SAM	 Yes.
 SAM	 I have to have a life.  I haveto do things that I want withpeople my own age.  It's noneof your business who I am goingout with.  I don't give a goodgoddam if you're angry --
 JONAH	 This is the one I like.
 SAM	 I don't care who you like. It's who I like.  But the truthis you're never going to likeanyone because it isn't yourmother.
 JONAH	 Fine.  I won't say anything. You can marry Count Dracula.
 SAM	 Thank you, Jonah.  But thepoint is, I am not askingpermission.
 JONAH	 What's wrong with Annie?
 SAM	 Shut up.
 JONAH	 Shut up?  Shut up???  Mom neverdid that.  Mom never said shutup to me.  Mom never yelled atme.
 SAM	 This conversation is finished.
 JONAH	 You said we could go to NewYork.
 SAM	 Did not.
 JONAH	 Did too.
 SAM	 I can't know what I said, butwe're not going.
 JONAH	 I'm not leaving this room untilyou say yes.
 SAM	 Get out.
 JONAH	 No.
 SAM	 Goddammit, I am sick of this
 JONAH	 Put me down.  I hate you, Ihate you --
 SAM	 I'm sick of this phonymelodramatic bullshit.  I'msick of it.
 SAM	 Jonah?  Clarise is here, okay?And I'm leaving.
 SAM	 Jonah?  He's probably still asleep.
 TICKET CLERK	 Next.
 JESSICA'S MOTHER	 Jessica, this is notacceptable.
 JESSICA'S FATHER	 If you don't tell us right now,right this minute, I'm going tokill you.
 JESSICA	 He's on his way to New York.
 JESSICA'S MOTHER	 What?
 SAM	 How?
 JESSICA	 United 597.
 JESSICA'S MOTHER	 Jessica!
 SAM	 When does it leave?
 JESSICA'S FATHER	 Eight-thirty.
 STEWARDESS	 Here you go... here's a nice pinfor you, for flying with us.
 JONAH	 Thank you.
 STEWARDESS	 You're welcome.  Can I takethat for you?
 JONAH	 No.
 SAM	 He's about this high, 90pounds, never combs his hair,Mariner's hat --
 AIRLINE CLERK	 Anyone check in aunaccompanied minor on the NewYork flight?
 FIRST CLASS TICKET CLERK	 I did.
 SAM	 I'll kill him.  I have to get to New York asfast as I can.
 AIRLINE CLERK	 We can get you on a flight toChicago and you can changeplanes --
 AIRLINE CLERK	 How will you be paying forthis?
 SAM	 American Express.  Visa.  I really am going to kill him.
 TAXI DRIVER	 Where to?
 JONAH	 Empire State Building.
 SAM	 Come on... come on... come on...
 CABBIE'S VOICE	 There it is.
 CABBIE	 What are you gonna do there,spit off the top?
 JONAH	 No.  I'm gonna meet...  my mother.
 WALTER	 Is something wrong.
 MAITRE D'	 May I get you a drink?
 WALTER	 Some champagne?
 ANNIE	 Fine, fine.
 WALTER	 Beautiful view, isn't it?
 ANNIE	 Walter, there's something Ihave to tell you --
 SAM	 Sorry, this is an emergency.
 SAM	 Empire State Building.
 JONAH	 Hi, I'm Jonah.  Are you Annie?
 WOMAN #1	 No.  I'm Cynthia.
 JONAH	 Excuse me, are you Annie?
 SAM	 You're my family.  You're allI've got.  What if somethinghappened to you?
 SAM	 What if I couldn't get to you?
 JONAH	 I was scared of what you weregonna do.
 SAM	 When I found you?
 JONAH	 If I didn't go.
 SAM	 Listen, have I ever doneanything really stupid?
 JONAH	 No.
 SAM	 I mean, so far, have I screwedit up for you?
 JONAH	 No.
 SAM	 I can't believe you flew firstclass.
 JONAH	 It was all they had.
 ANNIE	 I don't know what to say aboutit, Walter.  It was a form oftemporary insanity.  But I hadto tell you about it because --
 WALTER	 -- it was a betrayal.
 ANNIE	 Yes.  But it wasn't really.  Itwas just...
 WALTER	 So what happened?
 ANNIE	 I told you.  Nothing --
 WALTER	 At the top of the Empire StateBuilding --
 ANNIE	 I'm not at the top of theEmpire State Building.  I'mhere.
 WALTER	 Not really.  Look, Annie, I love you.  Let'sleave that out of it.  I don'twant to be someone you'resettling for.  I don't want tobe someone anyone settles for.  I have a life insurance policy, I'm fully invested in growthstocks, I have a paidsubscription to Home RoxOffice, I have no sexualdiseases, I have been steadilyemployed in a part of theeconomy that isn't soft, I haveexpectation in the way ofinherited wealth, I dressnicely, I am a member of theprivate sector, an independentvoter, I don't watch MondayNight Football, the only thingwrong with me is that I amallergic to wheat,strawberries, penicillin,pollen, nuts and wool.  Thereare plenty of women who see meas the brass ring.  If youdon't -- marriage is hardenough without bringing suchlow expectations into it, isn'tit?
 ANNIE	 Oh, Walter.  I don't deserveyou.
 WALTER	 I think that's what I'm saying.
 ANNIE	 You okay?
 WALTER	 Yes.  Some people will do anything toget out of going to a symphony.
 ANNIE	 Oh!
 WALTER	 What?
 ANNIE	 Look!
 WALTER	 Go for it.
 ELEVATOR OPERATOR	 Last call.  Closing time.
 JONAH	 This is pretty dumb, wasn'tit?
 SAM	 Big deal.
 SAM	 Maybe we'll get a dog when weget back.
 JONAH	 Okay.
 SAM	 What do you mean, okay?Wouldn't you like a dog?
 JONAH	 Sure.
 SAM	 Let's go home.
 INFORMATION BOOTH PERSON	 Sorry, ma'am, but the elevatorsare closed.
 ANNIE	 No.  Please.  I really need toget up there.
 INFORMATION BOOTH PERSON	 We're closing up.  No more runstonight.
 ANNIE	 Listen, can I just take a look?Maybe... maybe... There'ssomeone I was supposed tomeet... He's probably notthere, but if I don't at leastlook I'll always wonder aboutit.
 INFORMATION BOOTH PERSON	 Cary Grant, right?
 ANNIE	 You know that movie?
 INFORMATION BOOTH PERSON	 One of my wife's favorites.
 ELEVATOR MAN	 Sorry, ma'am.  Empty.
 ANNIE	 Can I take a minute?
 ELEVATOR MAN	 Go ahead.
 JONAH	 I left it near the...
 SAM	 It's you.
 ANNIE	 It's me?
 SAM	 The one in the street.  Ichased after you.
 JONAH	 Are you Annie?
 ANNIE	 Yes.
 SAM
 ANNIE	 Is this yours?
 JONAH	 I'm Jonah.  That's my dad.  His name isSam.
 ANNIE	 Hi, Jonah.  Sam.  And who is this?
 JONAH	 Howard.
 ANNIE	 Howard.
 SAM	 We better go.
 SAM	 Shall we?
 ANNIE	 Sam?
 ANNIE	 It's nice to meet you.
