Larry Crowne

AVERY	Sweatpants! Two pair! $6.69!
FRANCES TAYLOR-BRIEGH	Othello. Act 1. Scene 1. Iago to Roderigo.
MERCEDES TAINOT	Why can't all my students be like y u?
FRANCES TAYLOR-BRIEGH	Because, as I learned in your class, I am one of a kind.
MERCEDES TAINOT
FRANCES TAYLOR-BRIEGH	It happens.
MERCEDES TAINOT	You are everything that's wrong with America, Larry Crowne!
DIBIASI	Woah! Larry Crowne, I didn't know you were gay. You've gone all Project Runway on us.
LARRY CROWNE	Should I begin?
MERCEDES TAINOT	(talking to herself in the MOVIE
DEVICE WAY)	Oh shut up you sleaze. Jerk. Look at the new pants. They actually fit. And that jacket is 'smart'. Did Busik put Larry Crowne into Fashion for Creeps? An old goat dressed like lamb. Of course! It's that doe-eyed young thing he's been wearing on his sleeve. Dressing like he's half his age. Give me a shotgun! I'll pepper Larry Crowne right now! Am I being unfair? I mean, if I were single and some young buck took to me, wouldn't I be inclined to diddly-dally?
DIBIASI	(jerking out buds) What? What he say?
LARRY CROWNE	Unless you're looking at a chart, you don't even know the Equator when you cross it...
MERCEDES TAINOT	A repackaged Larry Crowne won't fool me. Shame on you. Going after jail bait, you criminal. Insert Viagra joke here... herself at you... No. Don't let up. No, Mercy. NO MERCY!
PINEDO	That Larry believed there were signs on posts marking the Equator.
CALIMERIS	And that, when it's a first time, they make the rookies dress in drag and sing Abba songs?
MACK	Larry worked on an Aircraft Carrier! Night Carrier Landings are the trickiest flying in world.
MERCEDES TAINOT	That was a memorable nugget.
PINEDO	Larry was stationed in Panama! My father is from Panama!
MERCEDES TAINOT	Mr. Koss to the lectern, please.
LARRY CROWNE	Oh crap.
TALIA	Chef Corona! Steam us some corn bread?
TALIA	Woman on deck!
RAUL	You can't come in here.
TALIA	I'm a friend of Lance's.
RAUL	No Lance works for me.
RAUL	This is my kitchen and I am the boss.
TALIA	Is he, Lance?
LARRY CROWNE	Raul's my boss, yeah.
TALIA	Rah-ool. Rhymes with ya-cool. Are ya' cool, Raul?
RAUL	Sure I'm cool. Tough but fair, too.
TALIA	As boss, do you make up the menu?
L
RAUL
A	N . But I do the purchasing.
R
TALIA	Is that a tough but fair job?
R
RAUL
Y	It makes me crazy, you kidding? But it's gotta be done every day or guess what? No food. I'll show you how much I gotta do...
P
U
RAUL IS
PERRY	Breakfast all day, see. From Corn Flakes to popovers. We make the best Chicken Fried Steak outside of a truck stop.
TALIA	Can Lance take a break?
PERRY	Who?
TALIA	The artist formerly known as Larry. I need his expertise.
PERRY	Lance.
LARRY CROWNE	Square footage at this price is a bargain.
TALIA	Maurice says I'm saving his life by renting the space.
LARRY CROWNE	This is your Matsutani Delta Number. You net this every month, you cover overhead, and the rest is profit.
TALIA	You sure?
LARRY CROWNE	Chapter four.
TALIA	You make it sound so simple!!
LARRY CROWNE	Well, back to work!
DEAN TAINOT	Work my ass off all night trying to get f i in' smile out of you!
MERCEDES TAINOT	I'm smiling...
DEAN TAINOT	Like The Joker after three Apple Martinis.
MERCEDES TAINOT	If they help, they help.
DEAN TAINOT	We can't even have a Date Night now? You can't even chillax for one meal?
MERCEDES TAINOT	"Chillax?" Did you use the word "chillax?" That come from your Bloggers Thesaurus?
GPS VOICE	Please Enter your destination.
MERCEDES TAINOT	You lie to me, Dean. Every day. You. Lie. To. Me.
DEAN TAINOT	You looking for a whole new man, Mercy? I'm the jerk who has to transform into Ultraman to make you happy? No. I like myself, Mercy. I put up with you and complain about nothing.
MERCEDES TAINOT	I'm not complaining. I'm stating the truth. I teach while you pretend to work.
DEAN TAINOT	I had three postings today alone. FogCaster, SkyScan, and ParsecTwelve.com
MERCEDES TAINOT	Those weren't postings. They were comments.
DEAN TAINOT	Hey, Booze-illa, who are you to judge me? I know what's really pissing you off. I like big titties. And you don't have any.
MERCEDES TAINOT
JANET	As soon as I saw you, I said, "I want to go out with that man."
TONY	What did you say when I asked you out?
JANET	I said "Yes." You were there, remember?
TONY	I saw you and I thought "I would be a lucky guy if she'd go out with me."
JANET	Yes you are.
TONY	Honestly, this is about as good a first date goes, isn't it?
JANET	Disaster looms on most first dates, but I'm talking to you like you're a friend I want to make out with.
TONY	Hold that thought.
DEAN TAINOT	I take it back. I take it back.
MERCEDES TAINOT	Drive, asshole! Drive away!
DEAN TAINOT	I've been drinking, too.
MERCEDES TAINOT	Drive straight til you hit a cliff on the coastline!
DEAN TAINOT	You win! I'm letting you win! Everything you say is right and
MERCEDES TAINOT	LOSER! I MARRIED A LOSER!!! With a tiny dick! Tiny dick LOSER!
DEAN TAINOT	Screw you, you washboard!
MERCEDES TAINOT	Oh, chillax!!!
GPS VOICE	Please enter your destination.
MERCEDES TAINOT	I'm throwing rocks at my own car !!
MERCEDES TAINOT	I loved these shoes once. Stupid shoes.
TALIA	Lance! Chick alert!
TALIA	You are not going to believe how Fate meets cute!
LARRY CROWNE	Ms. Tainot?
MERCEDES TAINOT	No.
LARRY CROWNE	Larry Crowne.
MERCEDES TAINOT	Jesus Christ.
TALIA	And I've been calling you 'Lance'.
LARRY CROWNE	Do you need a ride? Hop on.
MERCEDES TAINOT	And bust up your romp in the glen with Bambi?
TALIA	Hey. Bambi was a boy.
LARRY CROWNE	I was heading home. Right? We're done scooting?
TALIA	Not me. I love riding in the night. Magic happens.
MERCEDES TAINOT	What do men see in irritating free spirits?
LARRY CROWNE	Seriously. I offer you a ride.
MERCEDES TAINOT	Seriously. I don't want one.
LARRY CROWNE	I've yet to give anyone a lift on this but I think I can get you home with a scraped elbow, worst case.
MERCEDES TAINOT	I am walking, Crowne, as thoughts black boil up from my soul. Major consequences sure to follow. You'll read about them on Parsectwelve.com.
LARRY CROWNE	An attractive woman like you walking alone is a dumb idea.
MERCEDES TAINOT	I need a man flirting with me right now like I need a dog crapping on my lawn. I'm hoofing it.
LARRY CROWNE	In those shoes?
MERCEDES TAINOT	A man who notices shoes. All right. I'll be your Cycle Slut.
LARRY CROWNE	Put this on. Strap your legs round my engine and
MERCEDES TAINOT	It won't be a terrible thing if you kill us both.
LARRY CROWNE	Ain't you a ball of fun?
MERCEDES TAINOT	Are you really going to go this slow?
LARRY CROWNE	I do want to survive this night.
MERCEDES TAINOT	Fine. I have time to window shop. Oh look, a sale on tires at AutoUSA. And here comes a mailbox. I've never noticed their perfect design and colo scheme. This is so slow a cat could knock us over.
LARRY CROWNE	Where am I taking you?
MERCEDES TAINOT	Down to Portola and left to Havenhurst. Havenhurst to Palermo. Right on Palermo till I yell stop.
LARRY CROWNE	I may use this as a presentation in class.
MERCEDES TAINOT	Try it and you'll flunk.
MERCEDES TAINOT	Ha ha ha ha ha ha ha ha.
LARRY CROWNE	I like your class. You're making us all do things we never thought we could.
MERCEDES TAINOT	Put the shovel away and just get me home, 'kay?
LARRY CROWNE	Someone's getting pinched...
MERCEDES TAINOT	Measure his dick, officer! He's too diminutive to drive! Tiny dick loser!
LARRY CROWNE	Bad night for that guy.
MERCEDES TAINOT	Best night I've had in years! Drive on, McDuff!
LARRY CROWNE	Unit 114.
MERCEDES TAINOT	Thanks for the ox-cart ride. Help me.
LARRY CROWNE	You don't want to give me your pass code.
MERCEDES TAINOT	Just hold my hand up to the numbers. I'll manage from there. Two two two two. Pound.
LARRY CROWNE	This it?
MERCEDES TAINOT	Why I think it is!
LARRY CROWNE	I'll get the door for you
MERCEDES TAINOT	Take one step inside and I call security.
LARRY CROWNE	What?
MERCEDES TAINOT	This whole sorry chapter tonight.
LARRY CROWNE	What?
MERCEDES TAINOT	You passing up Gidget for a flat old coot like me.
LARRY CROWNE	What are you talking about?
MERCEDES TAINOT	What, you have no short-term memory?
LARRY CROWNE	When I say 'what', it means I get it and have already purposefully forgotten everything. Call it irony.
MERCEDES TAINOT	Sarcasm. Irony is when Gallant lands in the drunk tank while Goofus scoots me home.
LARRY CROWNE	Goodnight, Ms. Tainot.
MERCEDES TAINOT	Mrs. I'm Mrs. Tainot. Can you not see that?
LARRY CROWNE	I assumed you preferred Ms
MERCEDES TAINOT	When we presume we make a pretty pair of asses of me and you or something like that. Why aren't you married?
LARRY CROWNE	That's a long story and it's late. My helmet?
MERCEDES TAINOT	Help yourself.
LARRY CROWNE
WHAT
MERCEDES TAINOT
IT MAY	You smell good.
LARRY CROWNE	Thanks.
MERCEDES TAINOT	Do you have a crush on me? Single student. Unattainable teacher. It's common.
LARRY CROWNE	We all have crushes on you. Even the gals.
MERCEDES TAINOT	You want to make out with me, you can. I know I'm not a third rate Audrey Hepburn wanna-be but I still
GOT MOVES
LARRY CROWNE	Wow...
MERCEDES TAINOT	Pretty dang good. I still got it, no?
LARRY CROWNE	Yes, you do.. In you go. (Mercedes goes in) Close the door. Lock it!
MERCEDES TAINOT	Whoever I am...
DEAN TAINOT	Oh, Jesus Hell and tomorrow... Mercy!!!
TALIA	Oh, come on! I left you all set up! What went down?
LARRY CROWNE	Epilog. School today.
TALIA	Lance! A Betty on your Scooter after midnight? Holding on, her arms around you, pressed against your back, is a license to at least cop a feel.
LARRY CROWNE	If we had ended up making out, you still wouldn't hear it.
PINEDO	Seeing them -- the Northern Lights, the Aurora Borealis -- should have been beyond me, but I was a little girl in Coach class still awake, a window seat, a moonless night somewhere over Greenland with a shimmering curtain of emerald, gossamer light dancing just for me. That is something I will remember forever. The teacher says nothing. DIBIASI That was a knockout speech, Lala. Made the news. Caused riots downtown. School's out til 2019.
MERCEDES TAINOT	Mr. Crowne? A moment please?
CALIMERIS	Why doesn't she just throw herself at him?
PINEDO	This is bordering on harassment now.
DIBIASI	Quiet down. I'm watching the TV show...
MACK	Why doesn't this ever happen to me?
MERCEDES TAINOT	I need a few moments alone with Mr. Crowne thank you.
DIBIASI	Move along folks. Privacy's a right in this great nation of ours.
MACK	You want I should close this door, lock it, and barricade it so you won't be disturbed??
LARRY CROWNE	How are the Triplets? Groggy, Puffy, and Grumpy.
MERCEDES TAINOT	Last night was a confluence of too many things happening in too short a time span.
LARRY CROWNE	Last i ht? Let's see, what was I doing? Studying some. Working some. Can't recall. I've forgotten everything that happened last night as best a gentleman can.
MERCEDES TAINOT	I had no right to judge you or your relationships. Date who you want.
LARRY CROWNE	I wouldn't want that.
MERCEDES TAINOT	I hope the entire thing will be forgotten.
LARRY CROWNE	Sure. Nothing happened. At all.
MERCEDES TAINOT	So there will be no bravado among you and your pals?
LARRY CROWNE	None.
MERCEDES TAINOT	Thank you, Mr. Crowne.
LARRY CROWNE	I'd better scurry along to Dr. Matsutani's class. I hope I don't have this same conversation with him.
LAMARR	Puff. Don't suck. Then... relax. See? Works.
LARRY CROWNE	I have to sell my car.
LARRY CROWNE	If I could afford a new top I could afford to keep it.
LAMARR	What's the job paying you?
LARRY CROWNE	Half my UniMart salary.
LAMARR	You're down, Larry Crowne. Down as dirt.
LARRY CROWNE	I'm looking back on the year Denise left as the good old days.
LAMARR	Hang in there, neighbor.
LARRY CROWNE	Everyone keeps saying that.
LAMARR	I was in the same spot. Look what happened.
LARRY CROWNE	The odds of two people on the same street winning the lottery are worse than one person on the street winning the lottery.
LAMARR	I read how the universe is expanding, Larry, taking us along with it. That is a wild concept to grasp, but what it means is, we all have to hold on tight sometimes to get to where we're going to be.
LARRY CROWNE	This thing must be making me dizzy. What?
LAMARR	Keep your grip. You'll be okay. It's like the wife always says...
LAMARR	A woman with a measuring tape? That's money in my pocket.
HURLEY	' ind bargains today?'
LARRY CROWNE	Vick? How you doing? Larry Crowne.
HURLEY	Larry. Hi.
LARRY CROWNE	Why are you on the Register?
HURLEY	Management Execs are now required to put in 8-hour shifts on the floor. Every day. No overtime. No bonus. Just more hours. Cash or UniMart Bargain Card? Like you have one of them.
LARRY CROWNE	Cash. No receipt.
HURLEY	You got out of here just in time... 'Thank you for choosing UniMart, where united we blah blah.'
DEAN TAINOT	Hi.
MERCEDES TAINOT	Thanks for coming.
DEAN TAINOT	No notice. No preamble. Just an email and a google map.
MERCEDES TAINOT	I knew you'd be on the computer. Working...
DEAN TAINOT	Point made. So. What up.
MERCEDES TAINOT	Are we making a mistake here?
DEAN TAINOT
MERCEDES TAINOT	Point made. We could change things. We could start right now.
DEAN TAINOT	We could. Why should we?
MERCEDES TAINOT	Because we have history, Dean. But first, my thoughts... I've got to address drinking. I should be able to comprehend and respond to both sides of our conversations. And the morning shower should be refreshing, not a hangover cure.
DEAN TAINOT	I'd like that too.
MERCEDES TAINOT	Really?
DEAN TAINOT	You're not a pleasant woman after a few glasses. Mornings with you are to be survived.
MERCEDES TAINOT	Okay. Now, you.
DEAN TAINOT	I see. I'm what this is all about.
MERCEDES TAINOT	There are plenty of items on the relationship agenda but let's start here.
DEAN TAINOT	You're talking about you but you really mean me. I am not yelling or begging or saying you have to stop doing anything. So you don't get to either.
MERCEDES TAINOT	I'm not saying that.
DEAN TAINOT	We've both been here before. Why prolong the process? White flag! I give up. This ain't working. I'll sign papers and checks, see if there's enough for a cool sports car as a reward for the last few years and eventually I will be fine and you will too. But I am never once going to look at myself as another poor divorced guy who could still be married if only he had done the mea culpa bit for all his faults. I just now came up with that, and it is going to be my next posting.
MERCEDES TAINOT	Here I have surprise topics. Friday, in a Lightning Round, you must wax on that topic for 2 minutes without pause, repetition, or lack of charm. No notes. One visual aid. Ms Pinedo Draw
MERCEDES TAINOT	Spuds. Can't wait.
DIBIASI	'Disraeli'? What is that?
MERCEDES TAINOT	Who is that?
DIBIASI	It's a guy from Disrael. I'm done.
LARRY CROWNE	'Consumerism'.
MERCEDES TAINOT	That's supposed to say 'Communism.'
LARRY CROWNE	The handwriting is loopy. Looks like 'Consumerism'.
MERCEDES TAINOT	Fine. 2 minutes on Consumerism.
CALIMERIS	'Malpity Hoople.' What's this say?
MERCEDES TAINOT	No idea. Just pick another.
)	At the end of each chapter is a study guide. Master those and you will have mastered my book. Master my book and you will take over the world.
TALIA	You digging what you see?
LARRY CROWNE	You missed Matsutani's class. Review for the final.
TALIA	I'm done w th college.
LARRY CROWNE	What? Why?
TALIA	Because I'm going into business.
LARRY CROWNE	Talia. Don't be a fool. Stay in school. Don't throw away your education.
TALIA	And don't drink and drive or do drugs and quit smoking and eat vegetables. I don't. I stopped. I did. I do.
LARRY CROWNE
TALIA	Pretty much. Oh, look. Maurice gave us free tattoos. I wanted something in Japanese so check this out.
TALIA	That one says 'courage'. That one says 'spirit'. Courageous Spirit.
LARRY CROWNE	Japanese characters go the other way and that says Soy Sauce.
TALIA	Oh shut up.
LARRY CROWNE	It does. Soy sauce. Soy. Sauce. Quitting school is for dopes.
TALIA	Be here for our Grand Opening!
LARRY CROWNE	Might not make it. I have finals!
FRANCES TAYLOR-BRIEGH	This place anonymous enough?
MERCEDES TAINOT	As long as alcohol's out of my grasp.
FRANCES TAYLOR-BRIEGH	They have good pie, they say.
MERCEDES TAINOT	Great. Sugar can replace tequila in my bloodstream, my thighs, and the folds in my neck.
MERCEDES TAINOT	Yep.
FRANCES TAYLOR-BRIEGH	You'd think leggy blondes like us would be impervious, right?
PERRY	Ladies. Bring an appetite?
FRANCES TAYLOR-BRIEGH	The mark of a restaurant is their Key Lime pie.
PERRY
FRANCES TAYLOR-BRIEGH	No Key Lime?
PERRY	Cream pies I got.
FRANCES TAYLOR-BRIEGH	Boston Cream?
PERRY	Boston Cream? Key Lime? Lady, you're killing me here.
FRANCES TAYLOR-BRIEGH	Phooey. Peach. Peach pie.
PERRY	Ma'am?
MERCEDES TAINOT	I'll have the French Toast.
FRANCES TAYLOR-BRIEGH	French Toast?
MERCEDES TAINOT	(on the menu) Breakfast all day.
FRANCES TAYLOR-BRIEGH	I have seen it happen a time or two.
MERCEDES TAINOT	I kissed a boy.
FRANCES TAYLOR-BRIEGH	When, third grade?
MERCEDES TAINOT	One of my students.
FRANCES TAYLOR-BRIEGH	You Hoor. Gimme the friggin' details! He's not a minor is he?
MERCEDES TAINOT	Older than me.
FRANCES TAYLOR-BRIEGH	Hugh Hefner in your class? What went down?
MERCEDES TAINOT	He sort of... rescued me. And... he smelled nice.
FRANCES TAYLOR-BRIEGH	He a fireman who bakes bread?
MERCEDES TAINOT	I wanted to be kissed so asked if he wanted to and he did.
FRANCES TAYLOR-BRIEGH	Bold. Who is he?
PERRY	You're slipping, Larry. Lady says it's not French Toast as she knows it.
LARRY CROWNE	She's insane.
PERRY	Take it up with her.
PERRY	No shouting, okay? This is a family friendly establishment.
LARRY CROWNE	Frances Taylor-Briegh. You have a problem with your order?
MERCEDES TAINOT
LARRY CROWNE	Mrs. Tainot.
FRANCES TAYLOR-BRIEGH	The student of yours!?
MERCEDES TAINOT	This is Larry Crowne.
LARRY CROWNE	There's no way in creation I screw up French Toast.
MERCEDES TAINOT	It was fine, actually. I wanted to see if it was really you cooking back there. And say, howdy. Howdy doody.
LARRY CROWNE	You'll be the judge of that.
MERCEDES TAINOT	Absolutely.
LARRY CROWNE	Would you let my boss know so I don't lose this job?
MERCEDES TAINOT	Yes indeed.
LARRY CROWNE	Shall I prepare you another batch?
MERCEDES TAINOT	No. Thanks.
LARRY CROWNE	Then I will return to my station..
FRANCES TAYLOR-BRIEGH	You kissed the cook... I got a whiff. He smelled like bell pepper.
MERCEDES TAINOT	Look at the men in my life.
FRANCES TAYLOR-BRIEGH	Blame it on the booze... and collect yourself. You hoor...
MERCEDES TAINOT	That's my problem. I'm a drunken hoor. Check please?
MERCEDES TAINOT	What a difference from day one. I must be a better teacher than I thought. Dibiasi is nailing it. Calimeris stopped up-talking. Lala you can't shut up. Mack spoke about Australia for three minutes and mentioned kangaroos only twice. And Larry Crowne... And... He's polite. Instead of fighting me off that night, what does he do but kisses me one and then all but tucks me in. What kind of guy does that to a loopy tramp like me? He could have ravaged me. I misread this guy and if I had a brain I'd find a way to steal him away from that cutie pie and keep him for myself. I wonder if he'd like that, if he would... What did I just say? What did I just say about Larry Crowne?
DIBIASI	Nothing. And I was just wrapping up here.
MERCEDES TAINOT	I'm so sorry. Please go on.
DIBIASI	Larry? It okay if I get to my climax and denouement?
DIBIASI	Thank you... If it was the romance novelist in him that made Victoria the Queen become such a pal, chalk it up as another brick in the legacy of Ben Disraeli -- Earl of Beaconsfield - Educator - and Prime Minister of Great Britain. Not bad for a Jewish guy, huh?
PINEDO	Not so much as a bump, Nomad! Why'd you go last?
DIBIASI	Fourth quarter dramatics. Not that it mattered to my Speech professor...
MERCEDES TAINOT	Congratulations all of you.
MACK	Who's the MVP, Mrs. Tainot? Can we vote?
MERCEDES TAINOT	Not me, I have to stay objective.
MACK	I say... Lala!
MACK	This is the last of them. Damn, you have a lot of records.
LARRY CROWNE	Priceless at a buck apiece.
PATIENCE	A two-bedroom apartment and you don't have room for your furniture?
LAMARR	Selling this futon-sofabed? All those years across the street and you've learned nothing. What's the minimum you'll take for this stuff?
LARRY CROWNE	You'll get me top price.
LAMARR	You did learn.
DIBIASI	Pizza at last!
LARRY CROWNE	Here's lunch as promised!
STRANG	Son of a cock. Larry Crowne.
LARRY CROWNE	Jack Strang. Wow. This is irony.
STRANG	Two extra large. One Salad Bucket. Box of Frosty Cinnamon Eggs. Sixteen- fifty.
LARRY CROWNE	Jack. I need two bucks back. Times are tough.
STRANG	Tell me about it.
LARRY CROWNE	Ah. Forget it. Keep the change.
STRANG	I appreciate it. That could have been
RAUL	My next wife just walked in.
PERRY	I love this business sometimes. Something told me you'd be back. Is Larry Crowne working today?
PERRY	Larry, your Speech 217 teacher has a question about the menu.
RAUL	Go ahead. I'll take the window even though I'm the boss of the whole kitchen.
MERCEDES TAINOT	There's Larry Crowne. Are you allowed to sit? Where does Perry get his coffee?
LARRY CROWNE	I add chicory and a bit of vanilla. Trick I picked up in the Navy.
MERCEDES TAINOT	You're probably wondering why I stopped by. Well, it's to tell you your grade for Speech 217. You killed on the final and have an A. Way to go!
LARRY CROWNE	Didn't expect that. Thanks, Mrs. Tainot.
MERCEDES TAINOT	Class is out. Call me Mercedes. Or Mercy, for short. So. Just wanted to congratulate you. Your girlfriend will be thrilled.
LARRY CROWNE
MERCEDES TAINOT	No. I meant the... never mind. Which classes are you going to ace next term?
LARRY CROWNE	This has turned into a full time gig. Out of necessity.
MERCEDES TAINOT	I hope you continue your education. Back at East City. You've made such a good start.
LARRY CROWNE	I'll have to see.
MERCEDES TAINOT	I got Speech 217 moved to 10 AM, thank God. Who knows what I'll hear with the extra sleep.
LARRY CROWNE	My first class in college ever. And I get an A. Gotta be the teacher.
MERCEDES TAINOT	Should get going. You don't know anything about car devices, do you?
LARRY CROWNE	Cars not much. Devices some.
GPS VOICE	Please enter your destination.
MERCEDES TAINOT	Oh be quiet.
MERCEDES TAINOT	It is Hellspawn.
LARRY CROWNE	In my old job, I'd have steered you to a Vortex unit. The MapGenie interface is clumsy and the menu needs too many inputs.
MERCEDES TAINOT	It was working fine. Then I think I pressed too many buttons.
LARRY CROWNE	Ah. The Auto On Feature is engaged. Menu. Select. Features. Auto Voice. Select. Change? Yes. On. Off. Done? Yes. Save. Back. Back. Back. Exit.
MERCEDES TAINOT	Seemed like years and years.
LARRY CROWNE	All better now. Should be able to find your way. Thanks for the good news...
PERRY	Kimosabe, holding off til after school to woo the teacher is the move of a class act.
DIBIASI	(on his phone) I gotta get off, Baby, or I'm in hot water with Professor Tai-bo...
MERCEDES TAINOT	Is Larry with you?
CALIMERIS	Um, no. Should we track him down and drag him in here?
MERCEDES TAINOT	I... Seeing you all... I just thought... Choose a seat and lets get started!
PINEDO	Carrying a torch for Larry til it burns her hands...
BUSIK	All the excitement of first day of term, I don't want to go back to my empty apartment. Do you? I need a drink and some talk and some wind- down time. Don't you?
MERCEDES TAINOT	Dr. M.
MERCEDES TAINOT	Larry's enrolled?
MERCEDES TAINOT	Larry said that about me?
BUSIK	Oh yeah! I put that guy in your class. So technically, I changed his life.
MERCEDES TAINOT	He is a good student Is there any chance you would consider having drinks with an older faculty peer who holds a PhD in Economics?
MERCEDES TAINOT	Well, no. No offense Dr. M.
MERCEDES TAINOT	News travels fast.
BUSIK	If you're going out, I'm not doing anything.
BUSIK	For the spicy wings, yes!
GPS VOICE	Right Turn.
MERCEDES TAINOT	Got it Turning right
GPS VOICE	Your destination is ahead on the right.
MERCEDES TAINOT	It is? That was a breeze. Thank you.
TALIA	I love that blouse with that skirt but I'd show more leg if I were you.
MERCEDES TAINOT	I'm Mercy Tainot
TALIA	Bambi Romp in the Glen. Looking for Lance?
MERCEDES TAINOT	4225 Harbor?
TALIA	This is 4227. 4225. You'll see the stairs.
TALIA	Little higher heels'll get you wolf whistles.
MERCEDES TAINOT	Did you tell Ed Matsutani taking my class changed your life?
LARRY CROWNE	Yes.
MERCEDES TAINOT	How?
LARRY CROWNE	I met you.
