Prestige, The

STAGEHAND	Where'd you think you're going?!
ANGIER	Stop doing the trick? Look at this.
CUTTER	Look at yesterday's. And last week's, where they called you "London's premiere stage performer", not "magician" mind. Performer. Of any kind.
ANGIER	What's the point?
CUTTER	My point, Robert, is that you've climbed too high to get away with any kind of professional embarrassament. We're not doing any tricks we can't control.
ANGIER	Pay him whatever he wants, for now. We keep doing the trick till Borden opens, then we'll phase it out.
ANGIER	Get up there!!
CUTTER	Get it down!
ROOT	To what do I owe the pleasure of this rather welcome pint of ale?
BORDEN	You are the Great Danton, aren't you?
ROOT	Of course I am. But don't advertise it- I'll be mobbed with fans. (grins at Borden) And who might you be?
BORDEN	Just a humble admirer. And fellow practitioner.
ROOT	Ah, very good.
BORDEN	Another?
ROOT	If you insist. I'm not perfoming tonight. Well, only one show, and, to be frank, my people pretty much run things these days.
BORDEN	You could probably do it blindfolded.
ROOT	Bloody good idea.
BORDEN	Have it.
ROOT	Thanks.
BORDEN	Actually, there's something I might warn you about.
ROOT	Oh?
BORDEN	Well, it's your Transported Man illusion. Now, I'm noit claiming to know your method... but I had a similar trick in my act- and I used... (looks around,
WHISPERING)	...a double.
ROOT	Oh, I see, very good.
BORDEN	At first. Then it went bad. You se, I hadn't counted on the fact that once I incorporated this bloke into my act, he had complete power over me.
ROOT	Complete power, you say?
BORDEN	Weel, he was the secret, you see. And the more successful I became, the more outrageous his demands became. He practically backrupted me. In the end I had to stop performing the illusion completely. (looks at Root) You must be very careful about giving someone that power over you.
ROOT	Thanks for the warning.
ANGIER	...some of you may be familiar with this technique, but for those of you who aren't, do not be alarmed, what you are about to see is considered safe...
BORDEN	Great Danton, I must apologize! I simply had too much magic for my stage at the Pantages!
BORDEN	Pardon my intrusion!
CUTTER	I don't see how Borden found him- I had him under wraps, I was careful.
ANGIER	Well, he did.
CUTTER	Sit, do you think it might be her? Olivia?
ANGIER	No. I don't.
CUTTER	Shall we cut him down?
ANGIER	He's the Great Danton. Let him cut himself down.
ANGIER	You weren't expecting me?
OLIVIA	I was expecting you sooner, Robbie. Your message said "afternoon".
ANGIER	Well, it takes a bit for me to get around these days...
ANGIER	He's taken everything from me. My wife, my career... now you.
OLIVIA	What do you mean? You sent me to-
ANGIER	I sent you to steal his secret- not to improve his act-
OLIVIA	That's my job-!
ANGIER	Or to fall in love with him!
OLIVIA	You abandoned me to him!
OLIVIA	I did everything you asked.
ANGIER	Yes? Then how does he do it?!
OLIVIA	Cutter was right- it's a double.
ANGIER	Of course Borden said that-
OLIVIA	He didn't say anything- he'd never say. I've seen things- make-up, glasses, wigs. We don't use any of it for the show, but I've found it hidden backstage.
ANGIER	It's misdirection- he leaves those things lying around to make you think he's using a double.
OLIVIA	All the time? He doesn't know when
I'M LOOKING-
ANGIER	All the time, Olivia- that's who he is, that's what it takes- he lives his act, don't you see?! And just because you're sleeping with him doesn't mean he trusts you.
OLIVIA	You thing you can see everything, don't you?
OLIVIA	But the Great Danton, is a blind fool.
OLIVIA	His notebook.
ANGIER	You stole it?
OLIVIA	I borrowed it for tonight. I thought you'd be able to translate some of it, but now I realize-
ANGIER	I can't.
OLIVIA	You can't.
ANGIER	Olivia, no one could- It's a cypher- with a transposition that probably shifts every day of the diary. Even with the keyword it would take months to decode...
OLIVIA	And without the keyword?
ANGIER	Perhaps never. We'll see.
OLIVIA	No, we won't- if I don't get that back tomorrow morning, he'll know I took it.
ANGIER	You can'r possibly think I'd let this go? This is his diary, Olivia. All of his secrets are right here, in my hands.
OLIVIA	Don't do this do me, Robert!
ANGIER	Leave him.
OLIVIA	He knows where I live!
ANGIER	I need to know his method.
OLIVIA	It won't get your wife back, Robert.
ANGIER	I don't care about my wife- I care about his secret!
ANGIER	Look, I'll go to his workshop and stage a break-in-
OLIVIA	He'll know it was you-
ANGIER	Yes, me, not you. Understand?
OLIVIA	Robert? I have fallen in love with him.
ANGIER	Then I know how hard this had been hard for you.
BORDEN	Notebook.
BORDEN	Then he's just getting started.
BORDEN	I'm walking tonight, gentlemen.
BORDEN	Let him come. I don't care.
CUTTER	I'll live. You save me the trouble to making you an air hole!
BORDEN	I'm impressed.
ANGIER	Why's that?
BORDEN	You're finally getting your hands dirty. This is what a good trick costs, Angier. Risk. Sacrifice.
ANGIER	The sacrifice, I'm afraid, is all going to be yours. Unless you give me what I want.
BORDEN	Which is?
ANGIER	Your secret.
BORDEN	My secret?
ANGIER	Your method for the Transported Man. Fallon wouldn't tell me. In fact, he doesn't talk at all.
BORDEN	You have my notebook.
ANGIER	Useless without the keyword.
ANGIER	Write down your method Mr. Borden. Describe it in full.
ANGIER	I want the method not the keyword- I don't even know if the secret is in you notebook.
BORDEN	The keyword is the method.
BORDEN	Where is my ingeneur?
BORDEN
IS HE
ANGIER	How fast can you gid?
ANGIER	How's the arm?
CUTTER	Still attached. Did you get your answer?
ANGIER	Our answer, Cutter. I haven't looked yet, I wanted you to share this.
CUTTER	I already know how he does it, Robert. The same way he always has, the same way we do. You just want it to be something more.
ANGIER	Well, let's find out, shall we?
-TESLA-
CUTTER	What does it mean?
ANGIER	It means, Cutter, that we have a journey ahead of us. To America.
CUTTER	Robert, listen to me. (gentle, but definite) Obssession is a young man's game, I can't follow you any farther in this.
ANGIER	Then the rest is up to me.
SARAH	I didn't know we'd be joined for dinner.
BORDEN	Absolutely. We're celebrating.
SARAH	Miss Wenscombe. Mr.Fallon.
BORDEN	(to wine waiter) Champagne. Your finest
SARAH	What are we celebrating, dear?
BORDEN	Well, we've hit upon a new trick, haven't we, Fallon?
OLIVIA	What trick, Freddy?
SARAH	Yes, "Freddy". What trick?
BORDEN	I'm going to bury myself alive. Every night. Then someone's going to come along and dig me up!
SARAH	I'm not sure my husband needs-
BORDEN	Who are you to tell me what?!
OLIVIA
PERHAPS-
SARAH	Perhaps, Mr.Fallon, you might escort Miss Wenscombe home. My husband's being a bore. I see no reason for the two of you to suffer as well.
OLIVIA	Good-night, Mrs.Borden. Good-night, Freddy.
SARAH	"Freddy"?
BORDEN	It's my name.
SARAH	Not at home.
BORDEN	I'm not always at home.
SARAH	Alfred, why are you being like this?
BORDEN	Sarah, I had a terrible ordeal today. I thought I'd lost something very precious to me.
SARAH	What?
SARAH	I see. More secrets.
BORDEN	Secrets are my life, Sarah. Our life.
SARAH	When you're like this, Alfred, I'm not seeing the real you. You're treating me like your audience. Performing. I can't live with that.
ANGIER	I thought I had the place to myself.
MANAGER	Unexpected guests. (looks out the window at the men) Not very polite. A lot of questions. At first I thought they might work for the government.
ANGIER	No?
MANAGER	Worse. They work for Thomas Edison.
BORDEN	Tell me Olivia. Does he like taking his bows under the stage?
OLIVIA	No. It's killing him. He's obssessed with discovering your method. he thinks of nothing else, and takes no pleasure in our success. I've had enough. There is no future with him. He sent me here to steal your secrets, but I've actually come to offer you his.
BORDEN	He has no secrets from me.
BORDEN	This is the "truth" you spoke of?
OLIVIA	No. This is what he told me to tell you.
OLIVIA	The truth is that I loved him. And stood by him. And he sent me to you like he'd send a stagehand to pick up his shirts. (looks him in the eye) I hate him for that.
BORDEN	I can spot Angier's methods from the back of the theatre. What could you possibly have to offer me?
OLIVIA	You may know he does his tricks... but you can't understand why no one can see that yours are better.
OLIVIA	You hide this. I had to look closely to spot it when you performed the Transported Man. (looks into his eyes) But this makes you unique... it shows the audience that you aren't using a double; You musn't hide it, you must display it proudly... (looks at hand) I'm sure it takes great skill to perform illusions with one good hand.
BORDEN	It does.
OLIVIA	Then let people know. You can be so much more then he is. I can show you how.
BORDEN	How could he send you away? He must be blind, deaf and dumb.
OLIVIA	Robbie's blinded by his jealosy. He'd do anything for you secret. Sending me away was the least of it.
ANGIER
ANGIER
ANGIER	I've veen played for a fool!
ALLEY	Who by?
ANGIER	Tesla never made a machine like the one I asked for.
ALLEY	We never said he had.
ANGIER	You let me believe that he had, Alley!
ANGIER	You stole my money because your funding was cut off- you've been shooting sparks at my top hat, laughing at me all along while you use my money to stave off ruin. I've seen Edison's men-
ALLEY	Where?
ANGIER	In the hotel. I've every mind to bring them up here myself-
TESLA	That would be unwise, Mr.Angier.
TESLA	It is true, sir, that you are your one remaining financier. But we have not stolen your money...
ALLEY	Sir, my cat?
ALLEY	When I told you I could make your machine I spoke the simple truth. Science is just a name for the art of rendering the exotic mundane. It has no boundaries- its very purpose is to destroy boundaries.
ANGIER	Then why isn't the machine working?
TESLA	Because exact science, Mr.Angier, is not an exact science. The machine simply does not operate as expected. It needs continued examination.
ANGIER	Where did my top hat go?
ALLEY	Nowhere.
ALLEY	We've tried the damn thing a dozen times. And the hat went nowhere.
TESLA	Which is why we need to rey a different material. It may provoke a different result.
TESLA	You don't expect me to handle the thing myself?
ALLEY	You are responsible for whatever happens to this animal, Doctor.
ANGIER	I'll go.
ANGIER	Here, kitty, kitty.
ANGIER	So the machine was working?
ALLEY	I never bothered to check the calibration. The hat never moved.
TESLA	These things never quite work as you expect them to, Mr. Angier. That's one of the principal beauties of science.
TESLA	We'll need a couple of weeks to iron
OUT THE-	(looks at hats) -problems with the machine. I'll send word when it's ready.
TESLA	Don't forget your hat.
ANGIER	Which one is mine?
TESLA	They are all your hat, Mr. Angier.
JESS	Are we going to the zoo this afternoon, daddy?
BORDEN	Daddy's got some business this afternoon.
JESS	But you promised.
BORDEN	Did I?
BORDEN	Then go to the zoo we shall.
BORDEN	(gestures to newspaper) Who's that?
JESS	That's you, daddy?
BORDEN	Daddy has some errands to run. I'll be back before you know it, so get ready.
SARAH	We each have our vices.
BORDEN	Sarah. Whatever you may think, your only competitions for my affections is my little girl. I love you. I will always love you, and you alone.
SARAH	You mean it today.
BORDEN	Absolutely.
SARAH	That makes it so much harder when you don't.
BORDEN	More shopping. She doesn't like the smell of money, doesn't she?
BORDEN	The little lady wants to visit the Zoo, I thought you could take her. I'll do it tomorrow, if not. (looks at his feet) Sarah... she knows. At least, she knows things aren't right. (looks at Fallon,
PLEADING)	Help me with her. Try and convince her that I love her. Please.
OLIVIA	What is it. Freddy?
BORDEN	Please don't call me that. It's nothing, just... sometimes things seem... wrong.
OLIVIA	Freddy, I've told you before. When you're with me, you're with me. Leave your family at home where they belong.
BORDEN	I'm trying, Olivia. Please.
OLIVIA	I'll get dressed.
OLIVIA	There's something about him I don't trust.
BORDEN	You trust me? (off her look) Then trust Fallon- he protects the things I care about.
MANAGER	We're sorry to see you go, Mr. Angier.
MANAGER	We are sorry to see Mr. Tesla leave as well. He was very good to Colorado Springs. A very generous man.
MANAGER	Mr. Angier? I didn't feel it was necessary to tell the other men about the box.
ANGIER	What box?
MANAGER	We never use these rooms in the off - season. It's a shame.
TESLA	Such thing will only bring you misery.
ANGIER	Yes, you, Borden. Sitting there, in your cell, reading my diary. Awaiting your death. For my murder.
OWENS	Lord Caldlow was happy to hear that you'd reconsidered his offer.
BORDEN	Angier's journal, the "gesture of good faith"? It's a fake.
OWENS	I assure you it's not.
BORDEN	It has to be- it refers to events that happened after his death.
OWENS	Clever predictions, I'm sure. The provenance of the journal is clear and under no doubt. It's written in Angier own hand, of which we have numerous examples. (looks at Borden) What makes you think it's a fake?
BORDEN	It doesn't matter.
BORDEN	My tricks. All of them.
OWENS	Including the Transported Man? Lord Caldlow will be very pleased.
BORDEN	No he won't. They're not complete- you only have the Pledge and Turn for each.
OWENS	Without the Prestige for each trick these are wothless.
BORDEN	You'll get the rest after you bring my daughter here.
BORDEN	I want to say goodbye.
SARAH	Deny it all you want- I know!
BORDEN	Sarah, it's not true! I've told you Olivia means nothing to me!
SARAH	I'll go yo her! I know what you really are, Alfred!
BORDEN	Sarah. You can't do that.
SARAH	I can't live like this!
BORDEN	What do you want from me!
SARAH	I want you to be honest with me. No tricks, no lies, no secrets.
SARAH	Do you love me?
BORDEN	Not today.
SARAH	Thank you.
WHO'S THERE
CUTTER	I- I'm looking for an old friend-
ANGIER	Nice little theatre. Good up-and- coming magician.
CUTTER	You came back.
ANGIER	It's a good to see you, John.
CUTTER	Good rehearsal space. Blind stagehands. I like it- You always had an eye for publicity.
ANGIER	I need your help, John. My last show. A limited engagement.
CUTTER	Your last show?
ANGIER	A wise man once told me that obsession was a young man's game. I'm almost done. One thing left... (points at crate) The real Transported Man.
CUTTER	You want to design a show around it?
ANGIER	i don't want you backstage, I need you front of house, managing.
ANGIER	i need you calling in any favours and connections you have left to get us the right booking for the run.
CUTTER	What sort of booking are you after?
ANGIER	The sort that Borden can't ignore.
DRIVER	This is the address, sir.
CUTTER	Mr.Ackerman. It's an honor to see you again, sir.
ACKERMAN	When you said you only wanted to show me one trick it piqued my interest.
CUTTER	It's a very special trick. Mr.Ackerman.
ANGIER	Pleased to meet you, Mr. Ackerman.
ACKERMAN	Likewise, I'm sure. Let's get on, shall we?
CUTTER	(down to stage) Turn it on, please.
ACKERMAN	Very pretty.
ACKERMAN	That's it, Cutter? He simply disappears? That's not a trick. He has to come back. There has to be a-
ACKERMAN
EXACTLY-
ACKERMAN	(quiet, haunted) Pardon me. It's very rare to see... real magic. it's been many years since I've seen...
ANGIER	Are you interested in helping us?
ACKERMAN	Yes. But you'll have to dress it up a little. Disguise it. Give them enough reason to doubt it.
MERRIT	Mr. Ackerman. When they said...I didn't think you'd be here in person.
ACKERMAN	I have an act for your venue.
MERRIT	Well, of course, sir...But I'm afraid I'm booked. The Moscow Ballet. They're playing through next year.
ACKERMAN	Get rid of them. This is a magical act. An excellent one. I believe you booked his first engagement several years ago. The Great Danton.
MERRIT	You really want me to-
MERRIT	I'll do it. Of course.
ACKERMAN	There will be one hundred performances. No more, no less. Five perfomances a week. No matinees, no weekends.
ACKERMAN	And that's what you'll be charging for each ticket. Good day.
OLIVIA	You haven't spopken about her, Freddy. Not once.
BORDEN	Who?
OLIVIA	Don't be cruel.
BORDEN	Why would I talk about her to you?
OLIVIA	Because she was part of your life and now she's gone.
OLIVIA	She wanted to meet me the day before she killed herself. Said she had something to tell me about you. I was such a coward, I couldn't bring myself to face her. (looks at Borden) What would she have said, I wonder?
BORDEN	You want the truth about me, Olivia? (she nods, wary) I never loved Sarah.
OLIVIA	You married her, had a child with
HER-
BORDEN	Part of me loved her. But part of me didn't. The part that found you. The part that's sitting here now. I love you. That is the truth that matters.
OLIVIA	You could be sitting in some other restaurant talking to some other woman about me that way. It's unhuman to be so cold.
OLIVIA	By the way, have you seen who's opened at the Pantages? (Borden shakes head) The Great Danton.
BORDEN	He's back?
OLIVIA	After two years. And he has a new trick. They're saying it's the best that London's ever seen.
OLIVIA	If you could see the look on your face, Professor. You should go to him- you deserve each other.
ANGIER	Ladies and gentlemen, my first trick of the evening is one that involves considerable risk. (removes his coat) Anyone in the audience who would be irrevocable damaged by seeing a man drown should leave now, for when I tell you that the young lady who taught performing it, you will understand the seriousness of the danger involved.
ANGIER	In my travels I have seen the future, and it is a strange future indeed. The world is on the brink of new and terrifying possibilities.
ANGIER	Man's reach exceeds his IMAGINATION!
BORDEN	Why only 100 performances? Do his methods dictate it, or is it simply a publicity move?
BORDEN	Fifty yards in a second. And all I know is that he uses a trapdoor. What's going on under that stage?
BLIND STAGEHAND
CUTTER	It's Cutter.
BLIND STAGEHAND	What do you want?
CUTTER	I'm looking for Angier.
ANGIER	You found him.
ANGIER	I told you, John- I don't want you backstage on this one.
CUTTER	What are they doing?
ANGIER	Disposing of the Prestige materials.
CUTTER	What's down there?
ANGIER	Do you really want to know?
CUTTER	Perhaps not.
BORDEN	They do this every night. After each performance?
BORDEN	We're done. (turns to Fallon) Let him have this trick. You're not to go back there. I don't need to know his secret. Leave him alone.
STAGEHAND	Where'd you think you're going?
BORDEN	I'm part of the act, you fool!
CUTTER	Who was that?
CUTTER	What did you do?
JUDGE	You will, in one month's time, be hanged by the neck until dead. May the Lord have mercy on your soul.
OWENS	Mr.Cutter? Owens.
CUTTER	Thank you for coming, Mr.Owens. It's fallen to me to dispose of Mr.Angier's equipment. Looking at the manifest, it's cleat that Lord Caldlow has purchased the bulk of the items.
OWENS	Mr.Cutter, if you needed to know where to deliver the items you surely could have just-
CUTTER	It's not just that, Mr.Owens. There is a particular item (turns to crate) This time, in fact, that I wish to... well, that is to say, I want to-
OWENS	You wnat to buy it instead.
CUTTER	I suppose so, yes.
OWENS	This is the machine? I'm afraid Lord Caldlow was adamant about procuring this particular item.
CUTTER	Perhaps if I dould talk to Lord Caldlow in person.
OWENS	Out of the question, I'm afraid.
OWENS	of course, I suppose... if, in the course of your delivery arrangements your paths were to cross... I can't stop you from speaking your mind.
SULLEN	Still here, Borden?
BORDEN	For now.
SULLEN	Got a visitor. Lord Caldlow. With a little girl.
BORDEN	Jess, how are you?
BORDEN	Are you alright?
BORDEN	I've missed you. Fallon's missed you. We both have.
JESS	Can I come in there, Daddy?
BORDEN	Everything's going to be okay.
BORDEN	You must be Lord-
ANGIER	Caldlow. Yes, I am. I always have been.
BORDEN	I saw you die.
ANGIER	They flatter you with all those chains, Alfred. Don't they know you can't escape without your little rubber ball?
ANGIER	All I wanted to do was prove that I was the better magician. But you couldn't leave me alone.
BORDEN	You were always afraid to get your hands dirty... (looks down at his
JESS)	Not anymore.
ANGIER	No. Not anymore. And I win. Because no one cares about the man in the box, the man who disappears.
BORDEN	You win. But don't take my little girl...
ANGIER	I know how hard it is to have someone so precious taken away, don't I
ANGIER	Borden? But you can't take her with you know, can you? She'll be looked after. Good-bye, Professor.
BORDEN	Wait. Don't you want this? You paid for it.
ANGIER	Your secret.
ANGIER	You always were the better magician, Borden. We both know that.
ANGIER	But whatever your secret was, you'll have to agree-
ANGIER	-mine is better.
BORDEN	Angier! Let me say good-bye. Please.
JESS	When are you taking me home, Daddy?
BORDEN	Soon. I promise. Soon.
ANGIER	For God's sake, Borden.
BORDEN	Daddy's coming, I promise. I promise.
HERE-
BORDEN	I promise.
BORDEN	You think this place can hold me, Angier?
BORDEN	Angier!
HOUSEKEEPER	Come here, love. Sir, there's gentleman waiting.
CAPTAIN	Dead God.
ANGIER	Hello, Cutter.
CUTTER	You're alive. You're Lord Caldlow. (Angier nods again) How?
ANGIER
	I learned an American accent from-
CUTTER	How are you alive, Robert?! I saw you on the slab, for God's sake.
ANGIER	I magician never reveals his secrets.
HOUSEKEEPER	Go on, child.
ANGIER	Good night, Jess.
CUTTER	Who's the girl?
CUTTER	I've seen her. I've seen her in court with Fallon...
CUTTER	What have you done?
ANGIER	She needs looking after-
CUTTER	She needs her father, but you're letting him hang. And I helped you.
CUTTER	I came here tonight to beg Lord Caldlow to let me destroy that machine. But I won't beg you for anything.
ANGIER	You don't have to. I'm going to make sure the machine. is never used again. A good magician never repeats his tricks.
CUTTER	Then, Lord Caldlow, where would like me to deliver it?
ANGIER	My theatre. It belongs with the Prestige materials.
CUTTER	I once told you about the sailor who described drowing to me...
ANGIER	He said it was like going home.
CUTTER	I was lying. He said it was agony.
BORDEN	We go alone now- both of us. Only I don't have as far to go as you.
BORDEN	You were right. I should've left him to his damned trick... I'm sorry. I'm sorry for so many things. For Sarah. I didn't want to hurt her.
BORDEN	Don't cry. Not for me. Go live your life in full. For both of us.
BORDEN	Are you watching closely?
CUTTER	Thank-you gents.
WORKMAN	Where do you want it?
CUTTER	Don't worry. Someone's coming to help.
CUTTER	I'm bringing this over after we're done.
ANGIER	Cautions as ever, Cutter. No one's going to use the place. I own it.
CUTTER	No room left- you couldn't have acommodated 100 performances.
ANGIER	It's a good thing I retired early then.
ANGIER	We'll put it down the end.
CUTTER	I'll go mix the cement.
CUTTER	Take a minute to consider your achiviement.
ANGIER	Cutter, I tried not to involve you.
ANGIER	No one cares about the man in the box.
ANGIER	Cutter?
WARDEN	Alfred borden, on this day, in the name of the King and the high court of England, you will meet your end. Do you have anything to say for yourself.
BORDEN	Abacadabra.
ANGIER
ANGIER	You- you died.
ANGIER	A brother. A Twin.
ANGIER	You were Fallon. The whole time...
BORDEN	We were both Fallon. And we were both Borden.
ANGIER	Were you the one who went into the
BOX-
ANGIER	Cutter knew. But I told him it was too simple. Too easy.
BORDEN	Simple, maybe. But not easy.
ANGIER	What about Olivia? And your wife?
BORDEN	We each loved one of them. We each had half a full life. Enough for us, but not for them.
BORDEN	Sacrifice, Robert- that's the price of a good trick.
BORDEN	But you wouldn't know anything about that, would you?
ANGIER	I've made sacrificies.
BORDEN	It takes nothing to steal someone else's work.
ANGIER	It takes everything.
ANGIER	It didn't work.
SECOND ANGIER	No, wait! I'm the-
ANGIER	Do you want to see what it cost me? You didn't see where you are, did you? Let me show you.
ANGIER	It took courage to climb into that machine every night...
BORDEN	You went halfway around the world. You spent a fortune. You did terrible things... and all of it for nothing.
ANGIER	Nothing? You never understood, id you? Why we did this? The audience knows the truth- that the world is simple. Miserable. Solid all the way through. But if you could fool them, even for a second, you could make them wonder. Then you got to see something very special... (coughs, looks up) You really don't know?
ANGIER	It was the look on their faced.
CUTTER	But you won't find it...
CUTTER	...because you don't really want to know...
