War of the Worlds

NARRATOR	No one would have believed in the early  years of the21st century, that our world  was being watched by intelligences greater  than our own. That as men busied themselves  about their various concerns, they observed  and studied. Like the way a man with  a microscope might scrutinize the creatures  that swarm and multiply in a drop of  water. With infinite complacency men  went to and fro about the globe, confident  of our empire over this world. Yet,  across the gulf of space, intellects,  vast and cool and unsympathetic regarded  our plant with envious eyes. And slowly  and surely, drew their plans against  us.
HARLAND	Maybe you want to get caught. Couple  of days hiding in a basement too much  for you, I bet. You'll probably turn  yourself right in!
RAY	Listen. It stopped.
HARLAND	(paying no attention) Maybe you'll be  okay. Maybe you'll get lucky and they'll  train you as their pet. You know, train  you, feed you, teach you how to do tricks...
RAY	(yells) WILL YOU SHUT UP AND LISTEN?!?!?!
RAY	(dead silent) Give me that!
HARLAND	You and I... I don't  think we are on  the same page.
HARLAND
RAY
HARLAND	(repeats for about 2 minutes) Not My  Blood!!!
RAY	Stop it! Stop it! You gotta stop it!  You gotta be quiet or they'll hear you!
HARLAND	(with an insane expression and tone)  They drink us!
RAY	Please, they'll hear you!
HARLAND	Then they spray us, like a fertilizer!
RAY	You gotta be quiet!
HARLAND	Drink US and....
RAY	They're gonna come back down here!
HARLAND	Then they spit us out all over their  goddamn red weeds!
RAY	(no longer whispering) Do you understand  what I'm gonna have to do? I can't let  my daughter die because of you.
HARLAND	This tunnel will get us to the city.  We'll have our own tunnels there. Ready  Made! Subway, see what I'm saying!
RAY	Stop it!
HARLAND	You can hide a whole army down there!
RAY	Stop it!!
HARLAND	... We'll go underground!
RAY
HARLAND	Sneak attacks at night!
RAY
HARLAND	We're the resistance Ray! They can't  occupy this country! Occupations always  fail! History's taught us that a thousand  times. This is our land.
HARLAND	(continues) ... We eat it, we breathe  it, only we can live on it! They can't  survive here Ray. They weren't built  for it.
RACHEL	What are you doing?
RAY	Whatever you hear... don't take this  off.
RACHEL	Dad??
RAY	Rach?
RACHEL	Dad?
RAY	What was that song... that lullaby I  didn't know?
RACHEL	Hushabye Mountains
RAY	Yeah. Please, Rach, sing it.
RACHEL	(begins to sing) ... A gentle breeze....
RAY	Don't stop.
RACHEL	... On Hushabye Mountain...
RAY	That's my girl.
RACHEL	... For far away my baby goes...
RACHEL	... it fills the sails ...
RACHEL	... of boats that are waiting ...
RACHEL	... Waiting to sail your worries away
RACHEL	... So close your eyes. You're on Hushabye  Mountain ...
RACHEL	... Wave goodbye to the cares of the  day and watch your boat, from Hushabye  Mountain, sail far away from Lullaby  Bay.
RACHEL	(screams) AHHHH!!!
RAY	Rachel???
RAY	RACHEL!!!  (to himself) Oh, my god,  no!
RAY	Rachel? Rachel? (looks up the stairs)  Rachel??
RAY	(searching) Rachel, make some noise  baby. Rachel??
RAY	Rachel? Rachel? Talk to me baby, come  on!
RAY	Rachel?!? RACHEL?!?!?!
RAY
RAY	(screams) AHH!
RACHEL	(screams) AHHHHH!!!!
RAY
RAY
RAY	(screams in pain) AHHH!
RAY
RAY	(reaching Rachel) Rachel. (no response)  Rachel.
RAY	Rachel.
RACHEL	Dad?
SOLDIER 2	Pull me! Pull me!!!
SOLDIER 2	We got him! Keep pulling! Pull me!
SOLDIER 2
RACHEL	What happened to it?
RAY	It's dying.
RAY	What happened?
SOLDIER 3	I don't know, something's happening  to them. Please keep moving.
RAY	Something's happening to them?
SOLDIER 4	Go. Go. Just keep moving, sir.
RAY	Excuse me, excuse me, what happened  here? You guys take it down?
SOLDIER 5	No sir, it was behaving erratically,  walking in circles then it went down  on it's own about an hour ago. (to people)  not stop! Keep moving!
RACHEL	How is it dead all by it's self?
RAY	Rachel, I'm not sure.
RAY	(to a soldier, during the robot noise)
SOLDIER 6
RAY
SOLDIER 6
RAY	(louder) LOOK AT THE GOD DAMN BIRDS!!!
RAY
SOLDIER 6	(motions and says) I CAN'T HEAR YOU!!!
RAY	(pointing) NO SHIELDS!!!
SOLDIER 6	(now getting it) (to the soldiers) THE
RAY	(to the people in the tunnel and Rachel)  It's safer in here!
SOLDIER 6
SOLDIER 6
RACHEL
MARY ANN	(just barely hearable) Thank you.
RACHEL	Robbie?
ROBBIE	Hey dad!
NARRATOR	From the moment the invaders arrived,  breathed our air, ate and drank, they  were doomed. They were undone, destroyed,  after all of man's weapons and devices  had failed, by the tiniest creatures  that God and his wisdom, put upon this  earth. At the toll of a billion deaths,  man had earned his immunity, is right  to survive among this planet's infinite  organisms. And that right is ours against  all challenges, for men do not live  nor die in vein.
