HOUSE SERVANT'S VOICE	m	He will be saying prayers in the  garden -- just follow the others.
GANDHI	m	On what charge?
ENGLISH CAPTAIN	m	I don't want any trouble.
GANDHI	m	I am an Indian traveling in my own  country. I see no reason for trouble.
ENGLISH CAPTAIN	m	Well, there'd better not be.
MEHA	?	For years the landlords have ordered  us to grow indigo, for dyeing the  cloth. Always they took part of the  crop as rent.
MEHA	?	But now the English factories make  cloth for everyone. No one wants our  indigo. And the landlords won't take  their share. They say we must pay  our rent in cash.
MEHA	?	What we could, we sold... The police  have taken the rest. There is no  food, we --
GANDHI	m	I understand. The landlords are British?
GANDHI	m	What we can do... we will try to do.
GANDHI	m	Is all Champaran like this, Shukla?
SHUKLA	m	Yes, Bapu... The whole province... hundreds --  thousands.
CHARLIE'S VOICE	f	Mohan -- !
POLICEMAN	m	Are you Mr. M. K. Gandhi?
GANDHI	m	Yes.
POLICEMAN	m	I'm sorry but you are under arrest.
GANDHI	m	I am not sorry at all.
BATSMAN	m	Who did you say would be buying the  drinks?
BATSMAN	m	Oh, no --
MAJOR	m	...I've got no idea. All I know is  there's a riot or something at  Motihari in Champaran, and the whole  company is ordered out.
A VOICE	m	It's two days' march!
MAJOR	m	That's why the match is off. It's  mostly Muslim territory and the old  man's taking no chances.
BATSMAN	m	God, and it's the best innings I've  had since Oxford.
WICKET KEEPER	m	India's full of grief, old man.
CHARLIE	m	I wish to see the prisoner, please.
CAPTAIN	m	All right, Sergeant.
GANDHI	m	Charlie--
CHARLIE	m	...Shades of South Africa.
GANDHI	m	Not quite. They're only "holding me"  until the Magistrate's hearing. Then  it will be prison.
CHARLIE	m	Did they take your clothes?
GANDHI	m	These are my clothes now.
CHARLIE	m	You always had a puritanical streak,  Mohan.
GANDHI	m	If I want to be one with them, I  have to live like them.
CHARLIE	m	I think you do. But I thank God we all don't.
GANDHI	m	I'm sure your legs are quite as  handsome as mine.
CHARLIE	m	Ah, but my puritanism runs the another  way. I'm far too modest for such a  display.
CHARLIE	m	Couldn't I be let in with the  prisoner? I am a clergyman.
CHARLIE	m	They're calling you "Bapu." I thought  it meant father.
GANDHI	m	It does. We must be getting old,  Charlie.
CHARLIE	m	What do you want me to do?
GANDHI	m	I think, Charlie, that you can help  us most by taking that assignment  you've been offered in Fiji.
GANDHI	m	I have to be sure -- they have to be  sure -- that what we do can be done  by Indians... alone.
GANDHI	m	But you know the strategy. The world  is full of people who will despise  what's happening here. It is their  strength we need. Before you go, you  could start us in the right direction.
CHARLIE	m	I must leave from Calcutta, and soon.  You'll have to say goodbye to Ba for  me.
GANDHI	m	When I get the chance.
CHARLIE	m	Well, I --
GANDHI	m	There are no goodbyes for us, Charlie.  Wherever you are, you will always be  in my heart...
MAGISTRATE	m	I am going to clear the courtroom.
CLERK	m	I'm not sure we'd be able to. And it  is a first hearing, it's supposed to  be public. And he's a lawyer.
MAGISTRATE	m	I don't know where they found the  nerve for all this.
CLERK	m	I'm sure I don't either, but the  troops won't be here until tomorrow.
MAGISTRATE	m	How the press get here before the  military?
CLERK	m	That English clergyman sent a number  of telegrams yesterday afternoon. I  understand one of them even went to  the Viceroy.
MAGISTRATE	m	You have been ordered out of the  province on the grounds of disturbing  the peace.
GANDHI	m	With respect, I refuse to go.
MAGISTRATE	m	Do you want to go to jail?
GANDHI	m	As you wish.
MAGISTRATE	m	All right. I will release you on  bail of one hundred rupees until I  reach a sentence.
GANDHI	m	I refuse to pay one hundred rupees.
MAGISTRATE	m	Then I -- I will grant release without  bail -- until I reach a decision.
A VOICE	m	Gandhiji! -- Gandhiji! Mr. Gandhi!
FIRST YOUNG MAN	m	Gandhiji -- we are from Bihar. We  received a cable this morning from  an old friend who was at Cambridge  with us. His name is Nehru and I believe you  know him.
GANDHI	m	Indeed.
FIRST YOUNG MAN	m	He tells us you need help. And we  have come to give it.
GANDHI	m	I want to document, coldly,  rationally, what is being done here.  It may take months -- many, many  months.
FIRST YOUNG MAN	m	We have no pressing engagements.
GANDHI	m	You will have to live with the  peasants. I have nothing to pay you. Hmm.
SIR GEORGE	m	I don't know what this country is  coming to!
SIR EDWARD	m	But good God, man, you yourself raised  the rent simply to finance a hunting  expedition!
SIR EDWARD	m	And some of these others -- beatings, illegal seizures, demanding  services without pay, even refusing  them water! In India!...
SIR GEORGE	m	Nobody knows what it is to try to  get these people to work!
SIR EDWARD	m	Well, you've make this half-naked  whatever-he-is into an international  hero.
SIR EDWARD	m	"One lone man marching dusty roads  armed only with honesty and a bamboo  shaft doing battle with the British  Empire." At home children are writing "essays"  about him.
SIR EDWARD	m	I couldn't take another two years of  him to save my life.
SIR GEORGE	m	What do they want?
PERSONAL SECRETARY	m	A rebate on rents paid. They are to be free to grow crops of  their own choice. A commission --  part Indian -- to hear grievances.
SIR GEORGE	m	That would satisfy him?...
SIR EDWARD	m	And His Majesty's Government. It  only needs your signature for the  landlords.
SIR GEORGE	m	It will be worth it to see the back  of him. We're too damn liberal.
SIR EDWARD	m	Perhaps. But at least all this has  made the Government see some sense  about what men like Mr. Gandhi should  be allowed, and what they should be  denied.
SIR EDWARD	m	Things are going to change.
JINNAH	m	Where is Mr. Gandhi?
CHAUFFEUR	m	He said he preferred to walk, sir. I  followed him most of the way. He's  just turned the corner.
JINNAH	m	The Prophet give me patience.
CHAUFFEUR	m	He came Third Class.
JINNAH	m	My house is honored.
GANDHI	m	The honor is ours. May I introduce  Mr. Kallenbach. He's an old friend and his interest is in flowers. I  presumed to tell him he could wander  your gardens while we talked.
JINNAH	m	I'll send my gardener. I'm sure you'll  have much to discuss.
JINNAH	m	Gentlemen -- the hero of Champaran.
GANDHI	m	Only the stubborn man of Champaran.
JINNAH	m	Mr. Patel you know. Mr. Maulana Azad -- a fellow Muslim...  recently released from prison.
JINNAH	m	Mr. Kripalani. And of course you know Mr. Nehru.
GANDHI	m	I am beginning to know Mr. Nehru.
PATEL	m	Well, I've called you here because  I've had a chance to see the new  legislation. It's exactly what was  rumored. Arrest without warrant.  Automatic imprisonment for possession  of materials considered seditious...
PATEL	m	Your writings are specifically listed.
KRIPALANI	?	So much for helping them in the Great  War...
JINNAH	m	There is only one answer to that.  Direct action -- on a scale they can  never handle!
NEHRU	m	I don't think so.
NEHRU	m	Terrorism would only justify their  repression. And what kinds of leaders  would it throw up? Are they likely  to be the men we would want at the  head of our country?
NEHRU	m	I've been catching up on my reading.
JINNAH	m	I too have read Mr. Gandhi's writings,  but I'd rather be ruled by an Indian  terrorist than an English one. And I  don't want to submit to that kind of  law.
PATEL	m	I must say, Panditji, it seems to me  it's gone beyond remedies like passive  resistance.
GANDHI	m	If I may -- I, for one, have never  advocated passive anything.
GANDHI	m	I am with Mr. Jinnah. We must never  submit to such laws -- ever. And I  think our resistance must be active  and provocative.
GANDHI	m	I want to embarrass all those who  wish to treat us as slaves. All of  them.
GANDHI	m	Forgive my stupid illustration. But  I want to change their minds -- not  kill them for weaknesses we all  possess.
AZAD	m	And what "resistance" would you offer?
GANDHI	m	The law is due to take effect from  April sixth. I want to call on the  nation to make that a day of prayer  and fasting.
JINNAH	m	You mean a general strike?
GANDHI	m	I mean a day of prayer and fasting.  But of course no work could be done --  no buses, no trains, no factories,  no administration. The country would  stop.
PATEL	m	My God, it would terrify them...
AZAD	m	Three hundred fifty million people  at prayer. Even the English newspapers  would have to report that. And explain  why.
KRIPALANI	?	But could we get people to do it?
NEHRU	m	Champaran stirred the whole country. They are calling you Mahatma -- the  Great Soul.
GANDHI	m	Fortunately such news comes very  slowly where I live.
NEHRU	m	I think if we all worked to publicize  it... all of the Congress... every  avenue we know.
JINNAH	m	Perhaps I should have stayed in the  garden and talked about the flowers.
ADC	m	Sir -- it's Mr. Kinnoch.
CHELMSFORD	?	Yes?
KINNOCH	?	Nothing... nothing is working, sir --  buses... trains... the markets... There's not even any civilian staff  here, sir... Everything has stopped.
CHELMSFORD	?	Is it simply Delhi and Bombay?
KINNOCH	?	No, sir -- Karachi, Calcutta, Madras,  Bangalore. It's, it's total.
KINNOCH	?	The Army had to take over the  telegraph or we'd be cut off from  the world.
CHELMSFORD	?	I can't believe it...
KINNOCH	?	He's going to sell his own paper  tomorrow in Bombay. They've called  for a parade -- on Victoria Road.
CHELMSFORD	?	Arrest him!
NEHRU	m	Bapu...
GANDHI	m	You too...
NEHRU	m	It seems less formal than "Mahatma."
NEHRU	m	Since your arrest the riots have  hardly stopped. Not big --; but they  keep breaking out. I run to stop  them... and Patel and Kripalani --  they are never at rest. But some  English civilians have been killed,  and the Army is attacking crowds  with clubs -- and sometimes worse.
GANDHI	m	Maybe I'm wrong... maybe we're not  ready yet. In South Africa the numbers  were small...
NEHRU	m	The Government's afraid, and they  don't know what to do. But they're  more afraid of terrorists than of  you. The Viceroy has agreed to your  release if you will speak for non- violence.
GANDHI	m	I've never spoken for anything else.
SPEAKER	m	...England is so powerful -- its  army and its navy, all its modern  weapons -- but when a great power  like that strikes defenseless people  it shows it brutality, its own  weakness! Especially when those people  do not strike back. That is why the Mahatma begs us to  take the course of non-violence!
SPEAKER	m	...If we riot, if we fight back, we  become the vandals and they become  the law! If we bear their blows,  they are the vandals -- God and His  law are on our... side.
SPEAKER	m	...We must have the courage to take  their anger...
DYER	m	Port arms, Sergeant Major.
DYER	m	Load.
SPEAKER	m	...Our pain will be our victory.
ADC	m	Do we issue a warning, sir?
DYER	m	They've had their warning -- no  meetings.
DYER	m	Sergeant Major --
SERGEANT MAJOR	m	Take aim!
DYER	m	Fire!
SERGEANT MAJOR	m	Reload!
DYER	m	Take your time. Take your time.
DYER	m	Corporal!
CORPORAL	m	Sir!
DYER	m	Over there.
CORPORAL	m	Sir.
ADVOCATE	m	General Dyer, is it correct that you  ordered your troops to fire at the  thickest part of the crowd?
DYER	m	That is so.
ADVOCATE	m	One thousand five hundred and sixteen  casualties with one thousand six  hundred and fifty bullets.
DYER	m	My intention was to inflict a lesson  that would have an impact throughout  all India.
INDIAN BARRISTER	m	General, had you been able to take  in the armored car, would you have  opened fire with the machine gun?
DYER	m	I think, probably -- yes.
HUNTER	m	General, did you realize there were  children -- and women -- in the crowd?
DYER	m	I did.
ADVOCATE	m	But that was irrelevant to the point  you were making?
DYER	m	That is correct.
ADVOCATE	m	Could I ask you what provision you  made for the wounded?
DYER	m	I was ready to help any who applied.
ADVOCATE	m	General... how does a child shot  with a 3-0-3 Enfield "apply" for  help?
CHELMSFORD	?	You must understand, gentlemen, that  His Majesty's Government -- and the  British people -- repudiate both the  massacre and the philosophy that  prompted it.
CHELMSFORD	?	What I would like to do is to come  to some compromise over the new civil  legis --
GANDHI	m	If you will excuse me, Your  Excellency, it is our view that  matters have gone beyond  "legislation."
GANDHI	m	We think it is time you recognized  that you are masters in someone else's  home. Despite the best intentions of the  best of you, you must, in the nature  of things, humiliate us to control  us. General Dyer is but an extreme  example of the principle. It is time  you left.
KINNOCH	?	With respect, Mr. Gandhi, without  British administration, this country  would be reduced to chaos.
GANDHI	m	Mr. Kinnoch, I beg you to accept  that there is no people on earth who  would not prefer their own bad  government to the "good" government  of an alien power.
BRIGADIER	m	My dear sir -- India is British!  We're hardly an alien power!
CHELMSFORD	?	Even if His Majesty could waive all  other considerations, he has a duty  to the millions of his Muslim subjects  who are a minority in this realm.  And experience has taught that his  troops and his administration are  essential in order to keep the peace.
GANDHI	m	All nations contain religious  minorities. Like other countries,  ours will have its problems. But they will be ours -- not yours.
GENERAL	m	And how do you propose to make them  yours? You don't think we're just  going to walk out of India.
GANDHI	m	Yes... in the end you will walk out.  Because one hundred thousand  Englishmen simply cannot control  three hundred fifty million Indians  if the Indians refuse to co-operate.  And that is what we intend to achieve --  peaceful, non-violent, non-co- operation.
GANDHI	m	Until you yourself see the wisdom of  leaving... your Excellency.
GENERAL	m	"You don't just expect us to walk  out?" "Yes."
BRIGADIER	m	Extraordinary little man! "Nonviolent,  non-co-operation" -- for a moment I  almost thought they were actually  going to do something.
CHELMSFORD	?	Yes -- but it would be wise to be  very cautious for a time. The Anti- Terrorist Act will remain on the  statutes, but on no account is Gandhi  to be arrested. Whatever mischief he  causes, I have no intention of making  a martyr of him.
BA	f	...but now something worse is  happening. When Gandhiji and I were  growing up, women wove their own  cloth. But now there are millions  who have no work because those who  can buy all they need from England.  I say with Gandhiji, there is no  beauty in the finest cloth if it  makes hunger and unhappiness.
GANDHI	m	My message tonight is the message I  have given to your brothers  everywhere. To gain independence we  must prove worthy of it.
GANDHI	m	There must be Hindu-Muslim unity --  always. Secondly, no Indian must be treated  as the English treat us so we must  remove untouchability from our lives,  and from our hearts.
GANDHI	m	Third -- we must defy the British.
GANDHI	m	Not with violence that will inflame  their will, but with firmness that  will open their eyes.
GANDHI	m	English factories make the cloth --  that makes our poverty. All those who wish to make the English  see, bring me the cloth from  Manchester and Leeds that you wear  tonight, and we will light a fire  that will be seen in Delhi -- and  London!
GANDHI	m	And if, like me, you are left with  only one piece of homespun -- wear  it with dignity!
PATEL	m	Excuse me -- just let me get out of  your way, please. No, thank you, I'll manage.
PATEL	m	Ah, Herman! No, no -- don't destroy my good  intentions. I'm feeling guilty about  traveling Second Class.
KALLENBACH	?	I do it as a friend -- and admirer --  not a servant.
PATEL	m	Ah, in that case!
PATEL	m	Maulana is made of sterner stuff.  Our trains met in Bombay, but he's  back there in that lot somewhere.
PATEL'S VOICE-OVER	?	There he is -- out Gandhi-ing Gandhi.
PATEL	m	When I think what our "beloved  Mahatma" asks, I don't know how he  ever got such a hold over us. Is he  back?
KALLENBACH	?	Yes. Now that things are moving he's  going to write and only take part  when it's necessary.
AZAD	m	It was a Hindu child and it tried to  wet on me.
PATEL	m	Of course. A Muslim beef eater --  I'm only surprised he missed.
AZAD	m	He was a she.
PATEL	m	Ah, that explains it. Well, do I carry your luggage as  penance or --
KALLENBACH	?	There's another passenger -- a Miss  Slade. She's the daughter of an English  admiral. She's been corresponding with him  for a year.
PATEL	m	And what does the daughter of an  English admiral propose to do in an  ashram -- sink us?
AZAD	m	From the looks of the luggage, yes.
KALLENBACH	?	She wants to make her home with us --  and Gandhiji has agreed.
MIRABEHN	?	You'd be Mr. Kallenbach.
KALLENBACH	?	...And you would be Miss Slade.
MIRABEHN	?	I prefer the name Gandhiji has given  me -- Mirabehn.
KALLENBACH	?	It was a gift and it only worked a  few weeks, but when Gandhi came home  he struck on this idea. He calls it  his ox-Ford. Comfortable -- and yet  more our pace.
MIRABEHN	?	Might Mr. Nehru be there too?
PATEL	m	The irresponsible young Nehru is in  prison -- again. Though there is a  rumor that under pressure from your  country, they will let him out --  again.
MIRABEHN	?	You can't know how closely we follow  your struggle -- how many in England admired what you  did in Bardoli. It must have taken  enormous courage.
PATEL	m	Well, in this country one must decide  if one is more afraid of the  government or Gandhi. For us, it's Gandhi.
MIRABEHN	?	And you're German...
KALLENBACH	?	Yes.
MIRABEHN	?	And do you feel Indian?
KALLENBACH	?	No.
MIRABEHN	?	But you've been with him so long --  why?
KALLENBACH	?	...I'd come to believe I would never  meet a truly honest man. And then I  met one.
BA	f	Stop -- stop...
BA	f	God gave you ten thumbs.
GANDHI	m	Eleven.
GANDHI	m	Sardar...
GANDHI	m	What you've done is a miracle. You  have made all India proud.
PATEL	m	It must have been the only Non-violent  campaign ever led by a man who wanted  to kill everybody every day.
GANDHI	m	Not true! The secret is mastering the urge.
AZAD	m	He came Second Class.
GANDHI	m	Well, we can't expect miracles all  the time. Your news I understand is not so  good.
AZAD	m	No.
GANDHI	m	Come, come -- you will be my  daughter...
AZAD	m	...but then some rioting broke out  between Hindus and Muslims -- violent,  terrible...
AZAD	m	Whether it was provoked... But it gave them an excuse to impose  martial law throughout Bengal. Some of the things the military have  done...
GANDHI	m	Is the campaign weakening?
AZAD	m	The marches and protests are bigger  if anything but with the censorship  here they know more in England than we  do, and it saps the courage to think  you may be suffering alone.
GANDHI	m	They are not alone. And martial law  only shows how desperate the British  are.
GANDHI	m	Is that homespun? Or cotton from  Leeds?
MIRABEHN	?	I -- I sent for it, from here. I  dyed it myself.
GANDHI	m	What do the workers in England make  of what we're doing? It must have  produced hardship.
MIRABEHN	?	It has. But you'd be surprised. They  understand -- they really do. It's  not the workers you have to worry  about.
GANDHI	m	Good. Ba will have to teach you to spin  too.
MIRABEHN	?	I would rather march.
GANDHI	m	First spin. Let the others march for  a time.
BA	f	First lesson: To march, wear shoes,  to spin, do not.
BA	f	I'll teach you all our foolishness,  and you must teach me yours.
MARCHERS	?	Home Rule! Long live Gandhi! Buy  Indian! Long live Gandhi!
POLICEMAN	m	I'll stuff your damn mouth with it!
SECOND MARCHER	m	Leave him alone -- he wasn't harming  you!
TAIL-ENDERS	?	Help! Help us! as they try to scramble  away from the attack. Out of shot we  can still hear the disappearing chant:  "Home Rule! Long live Gandhi!"
TAIL-ENDER	?	Help! Help us!
POLICEMAN	m	Hey --
PATEL'S VOICE	m	That's one bit of news they haven't  censored.
JINNAH'S VOICE	m	Oh, it's all over the world... India's "non-violence."
NEHRU	m	What can we do?
GANDHI	m	We must end the campaign.
JINNAH	m	After what they did at the massacre --  it's only an eye for an eye.
GANDHI	m	An eye for an eye only ends up making  the whole world blind. We must stop.
PATEL	m	Gandhiji -- do you know the sacrifices  people have made?
JINNAH	m	We would never get the same commitment  again -- ever.
GANDHI	m	If we obtain our freedom by murder  and bloodshed I want no part of it.
NEHRU	m	It was one incident.
GANDHI	m	Tell that to the families of the  policemen who died.
NEHRU	m	Bapu -- the whole nation is marching.  They wouldn't stop, even if we asked  them to.
GANDHI	m	I will ask. And I will fast as penance  for my part in arousing such emotions --  and I will not stop until they stop.
JINNAH	m	God! You can be sure the British  won't censor that! They'll put it on  every street corner.
NEHRU	m	But -- but Gandhiji people are  aroused... they won't stop.
GANDHI	m	If I die, perhaps they will...
BA	f	I must get ready for evening prayers.  Mirabehn is here.
MIRABEHN	?	I've brought your drinking water.  May I turn you?
MIRABEHN	?	There is a little lemon juice in it.  That is all.
MIRABEHN	?	Herman has gone to meet Pandit Nehru --  there was a telegram. Almost  everywhere it has stopped.
GANDHI	m	When it is everywhere, then my prayers  will be answered.
GANDHI	m	Do you find me stubborn?
MIRABEHN	?	I don't know... I know you are right.  I don't know that this is right.
GANDHI	m	When I despair, I remember that all  through history the way of truth and  love has always won.
GANDHI	m	There have been tyrants and murderers,  and for a time they can seem  invincible. But in the end they always  fall. Think of it -- always... When  you are in doubt that that is God's  way, the way the world is meant to  be... think of that.
GANDHI	m	And then -- try to do it His way. And now -- could I have another feast  of lemon juice?
MIRABEHN	?	Panditji -- come in.
NEHRU	m	Jinnah, Patel, all of Congress has  called for the end of non-co- operation. There's not been one  demonstration. All over India people  are praying that you will end the  fast. They're walking in the streets,  offering garlands to the police --  and to British soldiers.
GANDHI	m	Perhaps -- perhaps I have overdone  it.
LITTLE BOY	m	Good morning, Bapu!
GANDHI	m	Good morning. Don't let her go. If she bumps me I  am done for.
LITTLE BOY	m	Don't worry. I milk her every day,  she's not --
POLICE SUPERINTENDENT	m	Sedition.
NEHRU	m	You can't be serious! This man has  just stopped a revolution!
POLICE SUPERINTENDENT	m	That's as may be. I only know what I  am charged to perform.
NEHRU	m	I don't believe it -- even the British  can't be that stupid!
GANDHI	m	Panditji -- please, help me.
GANDHI	m	You must help Herman -- and Ba. I have been on many trips -- it is  just another trip.
GANDHI	m	I am at your command.
GANDHI	m	If there is one protest -- one riot --  a disgrace of any kind, I will fast  again.
GANDHI	m	I know India is not ready for my  kind of independence. If I am sent  to jail, perhaps that is the best  protest our country can make at this  time. And if it helps India, I have  never refused to take His Majesty's  hospitality.
CLERK	m	Call the prisoner to the bar.
ADVOCATE GENERAL	m	..."Non-co-operation has one aim:  the overthrow of the Government.  Sedition must become our creed. We  must give no quarter, nor can we  expect any." Signed M. K. Gandhi, in your journal  Young India, dated twenty-second  March of this year. Do you deny  writing it?
GANDHI	m	Not at all. And I will save the Court's time,  M'Lord, by stating under oath that  to this day I believe non-co-operation  with evil is a duty. And that British  rule of India is evil.
ADVOCATE GENERAL	m	The Prosecution rests, M'Lord.
JUDGE BROOMFIELD	m	I take it you will conduct your own  defense, Mr. Gandhi.
GANDHI	m	I have no defense, My Lord. I am  guilty as charged. And if you truly believe in the system  of law you administer in my country,  you must inflict on me the severest  penalty possible.
JUDGE BROOMFIELD	m	It is impossible for me to ignore  that you are in a different category  from any person I have ever tried,  or am likely to try.
JUDGE BROOMFIELD	m	It is nevertheless my duty to sentence  you -- to six years' imprisonment.
JUDGE BROOMFIELD	m	If however His Majesty's Government  could -- at some later date -- see  fit to reduce that term, no one would  be better pleased than I.
COLLINS' VOICE-OVER	?	Yes, I'm sure that's exactly what  they hoped. Put him in prison a few  years and with luck he'd be forgotten.  And maybe they'd even subdue him...
COLLINS	m	Well, he certainly wasn't forgotten!  And as soon as he got out he was  back tramping the country, preaching  non-violence and demanding a free  India. Everybody knows another  showdown's coming -- but when, and  over what --
WALKER	m	Well, I read you account of that  crowd in Calcutta and that he was  twisting the Lion's tail again...
WALKER	m	...and I knew something had to give.  And I was determined to be here when  it did.
COLLINS	m	How does a reporter in Central America  learn that Gandhi was born in  Porbandar anyway?
WALKER	m	Oh, I've been a Gandhi buff for a  long time.
COLLINS	m	He certainly makes good copy. The other day Winston Churchill called  him "that half-naked Indian fakir."
WALKER	m	I met him once.
COLLINS	m	You mean Gandhi?
WALKER	m	Back in South Africa... long time ago.
COLLINS	m	What was he like?
WALKER	m	Lots of hair... and a little like a  college freshman -- trying to figure  everything out.
COLLINS	m	Well, he must've found some of the  answers...
BA	f	"In every worthy wish of yours, I  shall be your helpmate."
GANDHI	m	"Take a fourth step, that we may be  ever full of joy."
BA	f	"I will ever live devoted to you,  speaking words of love and praying  for your happiness."
GANDHI	m	"Take a fifth step, that we may serve  the people."
BA	f	"I will follow close behind you and  help to serve the people."
GANDHI	m	"Take a sixth step, that we may follow  our vows in life."
BA	f	"I will follow you in all our vows  and duties."
GANDHI	m	"Take the seventh step, that we may  ever live as friends."
BA	f	"You are my best friend... my highest  guru, and my sovereign lord."
GANDHI	m	Then I put a sweetened wheat cake in  her mouth.
BA	f	And I put a sweetened wheat cake in  his mouth.
GANDHI	m	And with that we were pronounced man  and wife. We were both thirteen...
WALKER	m	It's beautiful.
GANDHI	m	Even as a boy I thought so.
WALKER	m	Trying to keep track of you is making  me change all my sleeping habits.
GANDHI	m	And you've come all this way because  you think something is going to  happen?
WALKER	m	Hm. Is it?
GANDHI	m	Perhaps. I've come here to think  about it.
GANDHI	m	Do you remember much of South Africa?
WALKER	m	A great deal.
GANDHI	m	I've traveled so far -- and thought  so much. As you can see, my city was a sea  city -- always filled with Hindus  and Muslims and Sikhs and Jews and  Persians. The temple where you were yesterday  is of my family's sect, the Pranami.  It was Hindu of course but the priests  used to read from the Muslim Koran  and the Hindu Gita, moving from one  to the other as though it mattered  not at all which book was read as  long as God was worshipped.
GANDHI	m	When I was a boy I used to sing a  song in that temple: "A true disciple  knows another's woes as his own. He  bows to all and despises none...  Earthly possessions hold him not."  Like all boys I said the words, not  thinking of what they meant or how  they might be influencing me. I've traveled so far... and all I've  done is come back home.
WALKER	m	You know what you're going to do.
GANDHI	m	It would have been very uncivil of  me to let you make such a long trip  for nothing.
WALKER	m	Where are you going?
GANDHI	m	I'm going back to the ashram and then I'm going to prove to the  new Viceroy that the King's writ no  longer runs in India!
IRWIN	m	Salt?
PRINCIPAL SECRETARY	m	Yes, sir. He is going to march to  the sea and make salt.
SENIOR POLICE OFFICER	m	There is a Royal Monopoly on the  manufacture of salt, sir. It's illegal  to make it or sell it without a  Government license.
IRWIN	m	All right -- he's breaking the law.  What will he be depriving us of, two  rupees of salt tax?
PRINCIPAL SECRETARY	m	It's not a serious attack on the  revenue, sir. Its primary importance  is symbolic.
IRWIN	m	Don't patronize me, Charles.
PRINCIPAL SECRETARY	m	No, sir. I -- in this climate, sir,  nothing lives without water -- or  salt. Our absolute control of it is  a control on the pulse of India.
IRWIN	m	And that's the basis of this  "Declaration of Independence"?
SENIOR POLICE OFFICER	m	Yes, sir. The day he sets off everyone  is supposed to raise the flag of  "Free India." Then he walks some two  hundred and forty miles to the sea  and makes salt.
GENERAL	m	I say ignore it. Let them raise their  damn flags, let him make his salt.  It's only symbolic if we choose to  make it so.
PRINCIPAL SECRETARY	m	He's going to arrive at the sea on  the anniversary of the massacre at  Amritsar.
IRWIN	m	General Edgar is right -- ignore it.  Mr. Gandhi will find it's going to  take a great deal more than a pinch  of salt to bring down the British  Empire.
GANDHI	m	...the real test will come if I am  arrested. If there is violence we  lose all our moral advantage. This  time it mustn't happen.
NEHRU	m	We're not beginners anymore. We've  been trained by a strict sergeant  major.
GANDHI	m	If I'm taken, Maulana is to lead the  march. If he is arrested, Patel,  then Kripalani, then yourself.
BA	f	You should be relaxing.
GANDHI	m	I'm sure I'm fit for at least five  hundred miles.
MIRABEHN	?	You should ride the pony. It is not  necessary to walk to prove the point.
GANDHI	m	I have two of them bossing me now.
NEHRU	m	We must get these to the printer. I know it will succeed. Even my mother  is prepared to march.
GANDHI	m	And Jinnah?
NEHRU	m	He's waiting. He's not prepared to  accept it will mean as much as you  think.
GANDHI	m	Wait and see... wait and see...
GANDHI	m	You've done me a great service.
WALKER	m	It would have been uncivil of me to  have let you make such a long trip  for nothing.
WALKER	m	Is it over if they arrest you now?
GANDHI	m	Not if they arrest me -- or a thousand --  or ten thousand. It is not only generals who know how  to plan campaigns.
WALKER	m	What if they don't arrest you? What  if they don't react at all?
GANDHI	m	Do you still have your notebook? The function of a civil resister is  to provoke response. And we will  continue to provoke until they  respond, or they change the law.  They are not in control -- we are.  That is the strength of civil  resistance.
COLLINS	m	What'd he say?
WALKER	m	He said he's in charge...
GANDHI	m	Are you going to walk all the way?
WALKER	m	My name is Walk-er. And I intend to  report it the way it is.
GANDHI	m	"My name is Walk-er"...
STUDENT LEADER	m	We've come to join the march. What  do we do?
PYARELAL	m	Be sure you're awake in the morning. Find a place to sleep.
GANDHI'S VOICE-OVER	?	Man needs salt as he needs air and  water. This salt comes from the Indian  Ocean. Let every Indian claim it as his  right!!
ANNOUNCER'S VOICE-OVER	?	...and so once more the man of non- violence has challenged the might of  the British Empire.
SENIOR POLICE OFFICER	m	They're making it everywhere, sir --  mobs of them -- publicly. Congress  leaders are selling it on the streets  of Delhi.
BRIGADIER	m	We're being made fools of around the  world!
GENERAL	m	Isn't there any instruction from  London?
IRWIN	m	We're required to stop it. And stop it we will. I don't care if we fill the jails,  stop it. Arrest anyone, any rank --  except Gandhi. We'll cut his strength  from under him. And then we'll deal  with the Mahatma.
BRITISH SUBALTERN	m	Oh, my God!
SUBALTERN	?	Right -- jump to it -- clear this  beach!
NEHRU	m	No violence, Zia!
NEHRU	m	...no violence.
SERGEANT	m	You're Nehru --
NEHRU	m	I'm an illegal trader in salt.
SENIOR POLICE OFFICER	m	...There's been no time to keep  figures, but there must be ninety --  a hundred thousand under arrest. And it still goes on.
IRWIN	m	Who's leading them?
SENIOR POLICE OFFICER	m	I don't know! Nehru, Patel, almost  every Congress Official is in jail...  and their wives and their children --  we've even arrested Nehru's mother.
PRINCIPAL SECRETARY	m	Has there been any violence?
SENIOR POLICE OFFICER	m	Oh, in Karachi the police fired on a  crowd and killed a couple of people  and -- and in Peshawar the Deputy Police  Commissioner lost his head and...  and opened fire with a machine gun. But he's facing a disciplinary court!  You can't expect things like that  not to happen when --
IRWIN	m	I believe the question was intended  to discover if there was any violence  of their side.
SENIOR POLICE OFFICER	m	Oh, no, sir -- no, I'm afraid not.
PRINCIPAL SECRETARY	m	Perhaps if we arrested Gandhi, it  might --
IRWIN	m	He's addressed this letter directly  to you, has he?
