ATTENDANT	?	Dr. Furtw�ngler, the Reichsminister.
RODE	m	Edwin von der Null. Music critic.  He gave Furtw�ngler terrible reviews  while he raved about Herbert von  Karajan.
STEVE	m	Who's he?
RODE	m	Also a conductor. Very brilliant.  Young. Von der Null called him  'The Miracle von Karajan'.   Furtw�ngler was outraged and they  say he had von der Null conscripted  into the army. The same thing  happened to another critic. True  or not, it's not such a bad idea.   Critics give you bad reviews, you  have them sent to the Russian front. But if you really want to get  Furtw�ngler, ask him about Herbert  von Karajan.
STEVE	m	The Miracle Kid.
RODE	m	Yes, yes you may notice that he  cannot even bring himself to utter  his name, he... he refers to him  as K.
RODE	m	And ask him about his private life.
STEVE	m	His private life?
RODE	m	Yes, it's all in here. His women.
MARTIN	m	Where do you stand on all this?
DAVID	m	On all what?
MARTIN	m	On Furtw�ngler.
DAVID	m	I don't know.
MARTIN	m	You represent the United States  now. We have a moral duty to be  just and we have to be seen to be  just.
DAVID	m	Major Arnold believes he has a  moral duty, too.
MARTIN	m	Our duty is to help Furtw�ngler  with his defence, That's why I want you to look at  this... These are part of the transcripts  of the trial at Nuremberg. We can't  get them translated fast enough.  But I guess you understand German,  right?
MARTIN	m	That's the evidence of a guy named  Dahlerus. He's a Swede. Friend of  Hermann Goering. I want you to  study it. And I want you to use  it.
MARTIN	m	We're going to find more stuff to  feed you. We'll have some other  suggestions. We need to build a  case for the defence - based not  on feelings, not on prejudice, but  on facts.
WERNER	m	Lieutenant Wills.
WERNER	m	Herr Schlee, timpanist, Herr Romer,  cello and Herr Schmidt, viola.  They are willing to help. We have  already ordered ourselves coffee.  I hope you...
DAVID	m	Yeah, of course.
WERNER	m	The whole orchestra will vouch for  him. He was always there to support  us.
DAVID	m	We need names, if possible with  addresses, because it's urgent.  Names of musicians saved by Dr.  Furtw�ngler, people he helped to  escape abroad. Let's go somewhere  public.
DYMSHITZ	?	To co-operation.
STEVE	m	I was in Vienna. I had with me an  Austrian chauffeur, Max his name  was, he spent time in the camps.  We were looking at these Viennese  cleaning up the bomb damage,  scavenging for rotting food, butt  ends, anything. I said, 'To think  a million of these people came out  to welcome Adolf on the day he  entered the city, a million of  'em, and now look at 'em.'  And  Max said, 'Oh, not these people,  Major. These people were all at  home hiding Jews in their attics.'  You get the point, Colonel? The  point is they're all full of shit.
DYMSHITZ	?	Furtw�ngler's in a different  category.
STEVE	m	We're dealing with degenerates  here.
DYMSHITZ	?	Degenerates?
DYMSHITZ	?	A great artist will have great  privileges in a Russian zone.
STEVE	m	That's why he didn't get the hell  out of here when he had the chance!  I put that to him, he couldn't  answer. Why didn't he go and direct  in America, like that Italian,  Toscanini.
DYMSHITZ	?	Perhaps... perhaps he believed he  could at least try to preserve  something important, things like  an orchestra, a school. That's his  country. Maybe he has an old mother  who can't be left alone. Maybe he  has brothers, sisters... you  can't...
STEVE	m	Colonel. He had no sisters, no  brothers, only a lot of love  affairs.
DYMSHITZ	?	Anyway, Major, why should he leave  his country, his mother tongue,  his family, his history, his past,  his future, just because now,  suddenly, there is a dictatorship?  Why?
STEVE	m	But what... before that turns  rotten...  What if they surround  the space with barbed wire, Colonel?
DYMSHITZ	?	Don't talk about things you know  nothing about. He was in a  dictatorship!
STEVE	m	(dismissive) Yeah, yeah, art and politics, yeah,  yeah, I heard all about that.
DYMSHITZ	?	In a dictatorship, art belongs to  the Party. If you want to be a  conductor, you have to have an  orchestra. And you can only get an  orchestra if you have contact with  the power. All over the world you  need the right contacts and you  have to make the right compromises.
STEVE	m	This is what I'm saying. He must  have had Party contacts.
DYMSHITZ	?	There are good Party members who  help, and there are dirty non-Party  members who inform on you. Of  course, they gave him privileges.
DYMSHITZ	?	And suddenly, Steve, suddenly you  notice that they like you. They  honour you, suddenly you are the  director of the best museum in the  world, for example.
STEVE	m	What museum?
DYMSHITZ	?	I'm sorry. Museum? Not... I said  orchestra. Sorry. Believe me. Help me, Steve. You say you answer  for someone from high up. I, too,  have orders from high up. Very  high up. We want Furtw�ngler. I'll  give you in return the whole  orchestra, four, five conductors.  I need him, Steve.
STEVE	m	No can do.
DYMSHITZ	?	Let Furtw�ngler go. Please.
STEVE	m	I have a duty.
DYMSHITZ	?	Duty? I am sorry, duty? Duty fucking  duty. Trouble is, you Americans  want everybody to live like you.  We liberated Berlin, Major Steve,  not you. Our duty also is to bring  back the best of German culture.
STEVE	m	I'm gonna get that fucking  bandleader, Colonel. No deal. No  fucking deal.
DYMSHITZ	?	Then you're going to kill me.
ARCHIVES	m	You'll see ruins, you'll see  flowers, you'll see some mighty  pretty scenery, don't let it fool  you. You are in enemy country. The  Nazi party may be gone, but Nazi  thinking, Nazi training and Nazi  trickery remain. Somewhere in this  Germany are two million ex-Nazi  officials. Out of power but still  in there and thinking, thinking  about next time. Remember that  only yesterday every business,  every profession was part of  Hitler's system. Practically every  German was part of the Nazi network.  They believed they were born to be  masters. Don't argue with them.  You are not being sent Germany as  educators. You're a soldier on  guard. You will observe their local  laws, respect their costumes and  religion and you will respect their  property rights. You will not be  friendly. You will be aloof,  watchful and suspicious.
DAVID	m	Yesterday I read that Furtw�ngler  was asked to lead the New York  Philharmonic back in '36, Toscanini  suggested it. Had he accepted, he  would have become the most  celebrated conductor in America.
EMMI	f	When he made his decision, he  couldn't have known everything.  Especially not the way people like  you do, who've returned from exile  and feel that you have a right to  pass judgement. Because you are  blameless, you think you know best  who is a sinner and who deserves  forgiveness. But you have no idea  how people lived here.
DAVID	m	When he met Hitler at his birthday  and shook hands with him, was he  pleased?
EMMI	f	I don't know. But you and I already  know that he has saved lives.
EMMI	f	Bruckner's Seventh, Major.
STEVE	m	Do you know where the Adagio begins?
EMMI	f	Of course.
STEVE	m	Put it on ready to play, and I'll  tell you when to play it.
FURTW�NGLER	?	It is now nine o'clock precisely.  I do not intend to be kept waiting  again.
STEVE	m	Don't talk to me like I was a second  violinist. Go back into the waiting  room. Miss Straube will come and  get you when I am ready to see  you.
STEVE	m	Jesus God, who the hell does he  think he is? Who the hell does he  think he is?
RODE	m	Would you perhaps like to have a  glass of water, Herr Professor?
FURTW�NGLER	?	What is this man doing here?
STEVE	m	Dr. Furtw�ngler!  Come in, come  in, sit down.
STEVE	m	No, no, take this one, it's more  comfortable
STEVE	m	If it's too hot, open your tie.
FURTW�NGLER	?	(interrupting) I wish to say something.
STEVE	m	Go ahead, be my guest.
FURTW�NGLER	?	When I last saw you, I was  unprepared. I did not know what to  expect. In these past weeks, I  have been thinking more carefully  and making some notes. You have to understand who I am  and what I am. I am a musician and  I believe in music. I am an artist  and I believe in art. Art in  general, and music, in particular,  has for me mystical powers which  nurture man's spiritual needs. I  must confess, however, to being  extremely naive.  I insisted for  many years on the absolute  separation of art and politics. My  entire life was devoted to music  because, and this is very important,  because I thought that I could,  through music, do something  practical.
STEVE	m	And what was that?
FURTW�NGLER	?	Maintain liberty, humanity and  justice.
STEVE	m	Gee, that's a thing of beauty,  honest to God, a real thing of  beauty. I'm going to try to remember  that. Liberty, humanity and justice.  Beautiful. But you used the word  'naive'. Are you now saying you  think you were wrong? That art and  politics can't be separated?
FURTW�NGLER	?	I believe art and politics should  be separate, but that they weren't  kept separate I learned to my cost.
STEVE	m	And when did you first learn that -  when you sent the telegram? Was  that the surrender signal, the  waving of the white flag?
FURTW�NGLER	?	What telegram?
STEVE	m	'Happy birthday, dear Adolf, love  Wilhelm.' Or words to that effect.  That sounds to me like you were  dropping on your knees and saying,  'Okay, Adolf, you win. You're the  number one man. Have a swell party.'
FURTW�NGLER	?	I have no idea what you're talking  about.
STEVE	m	The birthday greetings you sent to  your old pal, Adolf Hider.
FURTW�NGLER	?	I never sent him any birthday  greetings or any other kind of  greetings.
STEVE	m	Think carefully, Wilhelm... maybe  not in your own name, but as Privy  Councillor or Vice-President.
FURTW�NGLER	?	I don't have to think carefully.  This is utterly ridiculous.
STEVE	m	Yes, David?
DAVID	m	Why not show Dr. Furtw�ngler the  evidence. It may refresh his memory?
FURTW�NGLER	?	You won't find it because no such  telegram exists.
STEVE	m	Well, I tried, you got to admit I  tried. I thought I might just trap  you there, Wilhelm, but David here  was too quick for me. Smart move,  David, smart move. No, I don't  have the telegram, but I know it  exists. And I want you to know,  Wilhelm, we're going to keep looking  for it because I believe you sent  it.
FURTW�NGLER	?	Then you are wrong.
STEVE	m	Art and politics, yeah, art and  politics. Let's look at that. You  and the Berlin Philharmonic toured  the Third Reich, played in countries  the Nazis had conquered. Are you  saying that conducting in occupied  territories from 1939 on wasn't a  commercial for Adolf and all he  stood for?
FURTW�NGLER	?	We never, never officially  represented the regime when we  played abroad. We always performed  as a private ensemble. As I think  I already told you, I was a  freelance conductor.
STEVE	m	You know something? You should've  written our insurance policies for  us because you got more exclusion  clauses than Double Indemnity.  What do you imagine people thought?  The Berlin Philharmonic's taken  over by Doctor Goebbels and his  Propaganda Ministry but Wilhelm is  a freelance, so art and politics  are now entirely separate? Is that  what you believed ordinary people  thought?
FURTW�NGLER	?	have no idea what ordinary people  thought.
STEVE	m	No!
FURTW�NGLER	?	No, because I had only one  intention. My only intention  whatever I did was to show that  music means more than politics.
STEVE	m	Tell me about von der Null.
FURTW�NGLER	?	Von der Null?
STEVE	m	Yes, von der Null.
FURTW�NGLER	?	Von der Null?
STEVE	m	How long's this going to go on,  Wilhelm? I say von der Null, you  say von der Null, I say von der  Null, you say von der Null, we  could go on all day. You know who  von der Null is, don't you? Edwin  von der Nuell, music critic.
FURTW�NGLER	?	Yes, I know who he is.
STEVE	m	Isn't it true that because he gave  you bad reviews and praised this  young guy, Von Karajan, called him  a goddamn miracle, said he was a  better conductor than you, then  you had von der Null conscripted  into the army and no one's heard  from him since?
FURTW�NGLER	?	That's an outrageous lie!
STEVE	m	You sure you didn't call one of  your close buddies and say, God in  heaven, did you see what that guy  von der Null wrote about me? The  greatest conductor on earth. I  want him out the way. He had the  nerve to accuse me I am not playing  enough modern music. Send him to  Stalingrad. Isn't that what you  did? You don't like criticism, do  you, Wilhelm?  You surely didn't  like them saying there was another  conductor who was better than you...  Are you saying the name von der  Null was never mentioned in your  talks with Goebbels?
FURTW�NGLER	?	Well. Once he said he'd read what  this man wrote about me.
STEVE	m	And what did he say?
FURTW�NGLER	?	He said, 'Don't mind him. His job  is to criticise, your job is to  conduct.'
STEVE	m	And what happened to Von der Nul?
FURTW�NGLER	?	I have no idea.
STEVE	m	You've really no idea? I'll tell  you what happened. He died in  Stalingrad.
FURTW�NGLER	?	I'm sorry.
STEVE	m	Now, that young conductor what's  his name? That miracle kid, you know who I  mean. Von Karajan! But you called  him something else. C'mon. What  did you call von Karajan?
STEVE	m	Say it.
STEVE	m	I'll say it, then. 'Little K.' Is  that right? You couldn't even bear  to say his name!
FURTW�NGLER	?	Please stop playing these games  with me. Why you should bring up  the name of another conductor is  beyond my understanding.
STEVE	m	I'll tell you why. You remember we  talked about you playing for  Hitler's birthday?  And you told  me that Goebbels got to your doctors  first, that you were tricked?
FURTW�NGLER	?	Yes, that's what happened.
STEVE	m	I have a different story to tell.  I don't think you were tricked.  Not in the way you describe. I  believe something else happened.  I've seen the Hinkel Archive, I've  seen records of phone calls, and  putting it all together, this is  what I think happened. I think  Goebbels said, 'Wilhelm, if you  won't conduct for Adolf's birthday,  we'll get the Miracle Kid, the guy  that critic, von der Null, thinks  is the greatest conductor in the  world. He's not just willing to  conduct for Adolf, he's offered to  sing "Happy Birthday" as a solo.'
STEVE	m	Come on, admit it. K worried you,  didn't he? He always worried you.  In 1942, he's thirty-four years  old, you're already fifty-six. And  Goebbels and Goering keep saying  to you, 'If you don't do it, little  K will.' Never mind art and politics  and symbols and airy-fairy bullshit  about liberty, humanity and justice  because I don't care how great you  are. It's the oldest story in the  book, The ageing Romeo jealous of the  young buck. The real reason you  didn't leave the country when you  knew you should have was that you  were frightened that, once you  were out of the way, you'd be  supplanted by the Miracle Kid, the  Party's boy twice over, flashy,  talented little K.
FURTW�NGLER	?	This is absolute nonsense!
STEVE	m	Well, I'm just beginning to develop  my theme. Isn't that what you call  it in classical music, developing  your theme? Okay, so they played  on your insecurity. That's human,  understandable. But, there is one  guy who doesn't like little K as  much as he likes you - yeah, the  number one man your old pal, Adolf.  He thinks you're the greatest, and  when he says, I want Wilhelm for  my birthday, boy, they better go  out get Wilhelm. So, Josef calls  and threatens you with little K.  And you said to hell with the Ninth  in Vienna, I'll give it to Adolf  as a birthday present in Berlin.  That's the trick they played, they  got you by the balls and they  squeezed. Hard. Why did you stay?  Why did you play for them? Why  were you the flag-carrier for their  regime?  Jealousy?
FURTW�NGLER	?	Of course there was a conspiracy  against me, a campaign - even  abroad.
STEVE	m	You see, Wilhelm, I'm talking about  ordinary, everyday reasons. Which  is why I want to discuss your  private life.  How many illegitimate  children do you have?
DAVID	m	Major, I don't see how this line  of questioning could...
STEVE	m	David, what are you Counsel for  the Defence now? ( Did you hear the question?
FURTW�NGLER	?	I have illegitimate children.
STEVE	m	What?
FURTW�NGLER	?	I said I have illegitimate children.  I don't know how many.
STEVE	m	You like the women, don't you,  Wilhelm?
STEVE	m	Isn't it true that before every  concert you got a woman in your  dressing room and gave her the old  conductor's baton, isn't that true?
DAVID	m	Major, this is deeply offensive  and repugnant!
STEVE	m	You bet.
DAVID	m	and totally irrelevant.
STEVE	m	Not so, Counsellor. That secretary  of yours, she wasn't just your  secretary, she procured women for  you, didn't she? As many and as  often as you wanted.
FURTW�NGLER	?	Stop this, please, stop this now!
STEVE	m	No, I'm not going to stop it. Hitler  himself offered you a beautiful  house and a personal bomb shelter.
FURTW�NGLER	?	I absolutely refused the house and  the bomb shelter.
STEVE	m	But you see what I'm getting at?  You get a gorgeous house, you're  highly paid. What are you gonna  do, stay or leave? One voice comes  back at me: stay!
DAVID	m	Major, that's not a good argument.  If Dr. Furtw�ngler did indeed enjoy  all these... these privileges, he  enjoyed them because of who he is  and what he is. That's true of any  leading artist in any country in  the world.
STEVE	m	But it still doesn't make them  saints. They still have to get up  and piss in the middle of the night,  don't they? They can still be  vindictive and envious and mean  just like you and me. Well, just  like me. Can't they?
STEVE	m	Okay, Wilhelm, go home now. Go  home and think about these past  twelve years.
FURTW�NGLER	?	I don't understand what you mean.
STEVE	m	No, that's your problem, Wilhelm.  You understand nothing. We'll call  you. Go!
DAVID	m	Major.
STEVE	m	What?
DAVID	m	Your manner.
STEVE	m	My manner? Why don't you go  downstairs, get a cup of coffee  and calm down? What's the matter,  Emmi? What's going on with you?  What's wrong?
EMMI	f	I'm sorry but I have to leave.  I'll find other work. You'll have  to get someone else, that's all.
STEVE	m	What is this, Emmi?
EMMI	f	I can't do this. It's not right.
STEVE	m	What's not right?
EMMI	f	I have been questioned by the  Gestapo just like that. Just like  you questioned him.
STEVE	m	Emmi, stop! I want to show you  something. Let me show you something  and then if you want to leave, you  can leave, please please. His  friends, they did this. And he  gave them birthday concerts.
EMMI	f	But he had no idea, a lot of people  had no idea. I only realised what  was really going on when I got  arrested.
STEVE	m	If he had no idea, why did the  Jews need saving? This is the  question, Emmi, to all Germans:  Why did the Jews need saving in  this country? Why, if people had  no idea?
EMMI	f	I would like to go now, please.
DAVID	m	Can I ask you a favour, Major?
STEVE	m	Yeah.
DAVID	m	When you question him again, could  you treat him with more respect?
STEVE	m	With more what? More what?
DAVID	m	Major, he may just be the greatest  conductor of this century and that  merits respect.
STEVE	m	David, I don't understand a thing  about you. You're a Jew. Are you a  Jew?
DAVID	m	Yes, I'm a Jew. But I like to think  first I'm a human being.
STEVE	m	A human being, oh, good, I'm  relieved, I thought you were going  to say you were a music lover.  This man, this great artist has  made anti-Semitic remarks like you  wouldn't believe. I got letters.
DAVID	m	Major, show me someone who hasn't  made an anti-Semitic remark and  I'll show you the gates of paradise.
STEVE	m	What is it with you, David? Where  are your feelings? Where's your  hatred, your disgust? Where's your  fucking outrage, David?
STEVE	m	Think of your parents, David, and  then think of him conducting 'Happy  Birthday, dear Adolf'. I mean, for  Chrissake, whose side are you on?  Grow up! Just grow the fuck up!
DAVID	m	I want you to come back to the  office. May I come in? If you are  there you can influence what  happens. What good can you do by  leaving. If you go, you are giving  up and how can you help Furtw�ngler  or me? Don't think about leaving.  Stay.
STEVE	m	Everybody says what a great  benefactor you were to the Jews.   But-- I have things here you said and  wrote. Listen to this: 'The Jew  composer Schonberg is admired by  the Jewish International.' And  what about this: 'Jewish musicians  lack a genuine affinity with our  music.' 'Jewish musicians are good  businessmen with few scruples,  lacking roots.' You deny you said  these things?
FURTW�NGLER	?	Those attitudes do not exist in  me.
STEVE	m	I believe that. But just answer  the question, don't give me  explanations.
FURTW�NGLER	?	Speaking to Party members I used  their language, of course I did,  everyone did.
DAVID	m	Major, sorry to interrupt, but  maybe we have to... maybe we have  to balance those things against  his assistance to his Jewish  colleagues.
DAVID	m	This is a transcript of the  proceedings at Nuremberg. A Swedish businessman, Birger  Dahlerus, testified in cross- examination that he had several  meetings with Hermann Goering. 'I  first saw Goering,' Dahlerus  testified, 'embroiled in a stormy  interview with Wilhelm Furtw�ngler,  the famous conductor of the Berlin  Philharmonic, who was vainly seeking  permission to keep his Jewish  concert master.
DAVID	m	Emmi, pick one of these, any one,  read it out loud.
EMMI	f	'Please remember that Dr.  Furtw�ngler risked his life to  help anyone who asked him. I  personally testify to having seen  literally hundreds of people lined  up outside his dressing room after  concerts to ask for his help. He  never turned anyone away. After he  heard me play... I am a violinist...  he gave me money because I was  unable to feed myself or my family  and then he helped me to escape to  Sweden. He helped countless people  in similar ways.'
DAVID	m	And this, only one of these letters,  Major. I have lots of them.
STEVE	m	How many times have I got to tell  you I was in insurance? You think  I can't smell a phoney policy when  it's shoved under my nose? Sure,  he helped Jews, but that was just  insurance, his cover, because all  the while he was maestro of all he  surveyed, See, Wilhelm, I think you're their  boy, their creature. You were like  an advertising slogan for them:  this is what we produce, the  greatest conductor in the world.  And you went along with it. The  truth of the matter is, Wilhelm,  you didn't need to be a member of  the Party. I made a mistake when I  asked you for your Party number. I  should've asked you for your non- Party number. Just like some other  well-known artists. Emmi, put that record on.
STEVE	m	Do you know what that is?
FURTW�NGLER	?	Of course I know what that is.
STEVE	m	Okay, so what is it?
FURTW�NGLER	?	Bruckner's Seventh. The Adagio.
STEVE	m	Who's conducting?
FURTWANGLBR	?	I am.
STEVE	m	You know the last time it was played  on these air waves?
FURTW�NGLER	?	How can I know such a thing?
STEVE	m	I'll tell you, then. The last time  this music was played on these air  waves was after they announced  that your pal Hitler had shot  himself. Listen to it.  They listen.   Did they pick little K's recording?  Did they pick some other conductor?  No, they picked you, and why?  Because you represented them so  beautifully. When the Devil died,  they wanted his bandleader to  conduct the funeral march. You  were everything to them.
FURTW�NGLER	?	I have always tried to analyse  myself carefully and closely. In  staying here, I believed I walked  a tightrope between exile and the  gallows. You seem to be blaming me  for not having allowed myself to  be hanged.
FURTW�NGLER	?	I didn't directly oppose the Party  because I told myself, that was  not my job. If I had taken any  active part in politics I could  not have remained here. But as a  musician, I am more than a citizen.  I am a citizen of this country in  that eternal sense to which the  genius of great music testifies. I  know that a single performance of  a great masterpiece was a stronger  and more vital negation of the  spirit of Buchenwald and Auschwitz  than words.
STEVE	m	Have you ever smelled burning flesh?  I smelt it four miles away. Four  miles away, I smelt it. Have you  ever seen the gas chambers, the  crematoria? Have you seen the mounds  of rotting corpses? You talk to me  about culture, art and music? You  putting that in the scales, Wilhelm?  You setting culture, art and music  against the millions put to death  by your pals? They had orchestras  in the camps. They played Beethoven,  Wagner. The hangmen were playing  chamber music at home with their  families. I don't understand the  Germans' relationship with music.  What do you need music for? Your  pals you could call to save a few  Jews when millions of them were  being annihilated? Yes, I blame  you for not getting hanged, I blame  you for your cowardice. You strutted  and swaggered, you fucking piece  of shit, king-pin in a shithouse.  You talk to me about walking a  tightrope between exile and the  gallows, and I say to you, lies!
FURTW�NGLER	?	I love my country, I believe in  music, what was I to do?
STEVE	m	Look around you. See the country  you served. Look at people who had  real courage, who took risks, who  risked their lives. Like Emmi's  father.
STEVE	m	Emmi, take your fingers out of  your ears!
STEVE	m	I'm talking about your father.
EMMI	f	My father only joined the plot  when he realised that we could not  win the war.  She cries quietly.
FURTW�NGLER	?	What kind of a world do you want,  Major? What kind of world are you  going to make? Do you honestly  believe that the only reality is  the material world, so you will be  left nothing, nothing but  feculence... more foul-smelling  than that which pervades your  nights... How was I to understand, how was I  to know what they were capable of?  No one knew. No one knew.
FURTW�NGLER	?	I don't want to stay in this  country. Yes, I should have left  in 1934, it would have been better  if I'd left...
STEVE	m	Get him out of here.
FURTW�NGLER	?	Thank you, Fraulein. You have been  most kind. He smiles at her. She is  embarrassed.
STEVE	m	Major Arnold. Get me General  Wallace. General? Major Arnold,  about Furtw�ngler. I don't know if  we've got a case that'll stand up,  but sure as hell we can give him a  hard time.
STEVE	m	Hey, turn that down, would you?  Can't you see I'm on the phone? Never mind, we got a journalist  who'll do whatever we tell him.
STEVE	m	Turn it off!
STEVE'S VOICE	m	We handed Wilhelm Furtw�ngler over  to the civil authorities and he  was charged with serving the Nazi  regime, with uttering anti-Semitic  slurs, performing at an official  Nazi Party function and with being  a Prussian Privy Councillor.  Dr.  Furtw�ngler was acquitted. I didn't  nail him. But I sure winged him.  And I know I did the right thing.  Furtw�ngler resumed his career but  he was never allowed to conduct in  the United States. He died in 1954.  Little K succeeded him as head of  the Berlin Philharmonic.

